,titles,replies,views,activity,category
0,"Before Submitting your Collaboration Request
!Before you post your request please read the following post and check out the linked resources to help make your collaboration post a good one! To ensure that you are communicating your project effectively to the comm… read more",7,3.8k,2h,collaborations
1,PAID POSITION: CSP line artist needed for webtoon,3.8k,152,3h,collaborations
2,Searching for an artist for a cover! Obviously I’m going to pay,11,364,4h,collaborations
3,Looking for comic team,152,276,11h,collaborations
4,PAID/ Partnership ARTIST needed!,23,809,12h,collaborations
5,Call For SHUT-IN CREATIVES,364,92,12h,collaborations
6,Looking for writer [unpaid],8,651,19h,collaborations
7,Looking for webtoon artist (unpaid),276,53,2d,collaborations
8,Looking for a writer! For a webmanga,28,162,3d,collaborations
9,Back to School Collab and promo!,809,169,4d,collaborations
10,Looking To Join A Team,0,219,4d,collaborations
11,Cross-Promotion Megathread,92,76.5k,6d,collaborations
12,Novice Novel writer looking for an editor(unpaid),5,131,6d,collaborations
13,Artist is found,651,455,6d,collaborations
14,Writer looking for Artist [PAID] WEBTOON [CLOSED],0,364,6d,collaborations
15,Looking for staff to join our shounen manga server,53,120,7d,collaborations
16,Need a Co Writer,7,221,7d,collaborations
17,Writer looking for an Artist for a Webtoon Project (closed),162,188,8d,collaborations
18,I am an artist and I want to illustrate your comic 😀 [CLOSED],9,344,8d,collaborations
19,Hot single artist near your area :o [ CLOSED ],169,332,8d,collaborations
20,Need an artist for my novel cover (PAID),6,197,8d,collaborations
21,Need Artist for Cover & Thumbnail (Paid),219,286,9d,collaborations
22,Paid looking for a manga artist for slice of life genre,3.1k,486,10d,collaborations
23,Looking for an illustrator to assist with Webtoon,76.5k,199,11d,collaborations
24,Webtoon Artist Looking For Writer,3,2.0k,11d,collaborations
25,(Unpaid) Writer looking for an artist WEBTOON,131,819,11d,collaborations
26,Looking to collab on character creation book {Unpaid},19,70,11d,collaborations
27,Looking for other artists and writers to collab with on a webtoon (unpaid),455,106,12d,collaborations
28,Artist Needed for Cover and Thumbnail [PAID] (CLOSED),11,228,12d,collaborations
29,(Unpaid) Looking for an editor for my novel!,364,157,13d,collaborations
30,Comic / Novel Collab? Insights?,0,133,13d,collaborations
31,Looking for an editor (Novel) (Unpaid For Now) [Closed],120,180,14d,collaborations
32,Anyone want to do an Art Collab like art train? Details inside!,4,150,14d,collaborations
33,Freakscomics recruiting (unpaid),221,562,14d,collaborations
34,Need New Illustrator (Paid),3,305,14d,collaborations
35,Colorist/Writer Looking for Webtoon Collaboration,188,135,15d,collaborations
36,This request is deleted,15,308,15d,collaborations
37,"Lonely artist wanting to create webcomic, looking for someone to work with for I simply cannot work alone-",344,789,17d,collaborations
38,Freelance artist looking to collaborate with writers,11,360,17d,collaborations
39,Artist looking of work (unpaid),332,308,17d,collaborations
40,Writer Looking for an Animator [Closed],14,204,17d,collaborations
41,[unpaid]PM for collaboration writer,197,207,18d,collaborations
42,"Story Editor, Co-Writer AND/OR Script Writer needed! [Unpaid]",14,191,18d,collaborations
43,Thumbnail and book cover needed [PAID],286,199,18d,collaborations
44,[post withdrawn],15,322,18d,collaborations
45,Transfeminine writers please hit me up! (PAID),486,152,19d,collaborations
46,Writer looking for an artist for a oneshot(unpaid),8,150,19d,collaborations
47,Would you be interested in drawing backgrounds for an Otome game,199,108,20d,collaborations
48,Webcomic Group Collab (Unpaid) (CLOSED),16,188,20d,collaborations
49,"Looking for Letterers, colorist, and writers (Paid)",2.0k,673,20d,collaborations
50,Proposal to create a general group of translations for the works in Tapas | Propuesta de crear un grupo general de traducciones para las obras en Tapas [Unpaid | No remunerado],8,112,20d,collaborations
51,Group Webtoon Partnership/Collaboration,819,162,20d,collaborations
52,Artist Collab Needed!,0,302,20d,collaborations
53,I need an artist for a cover (Paid),70,428,21d,collaborations
54,Looking for a colorist for a short comic. PAID (CLOSED),3,132,21d,collaborations
55,Artist looking for writer(s) for an energetic workplace comedy,106,773,22d,collaborations
56,(closed) Artist looking to collab with a writter for fun,13,149,22d,collaborations
57,Need book Cover (paid) CLOSED,228,292,23d,collaborations
58,Song of the Vampire Collaboration,3,151,24d,collaborations
59,(Unpaid) a writer looking for a digital artist [long term] new one made CLOSED,157,229,26d,collaborations
60,Looking for a novel cover (paid),2,260,26d,collaborations
61,Group Webtoon Collaboration [Closed],133,268,26d,collaborations
62,Welcome Back; I have a request,2,169,26d,collaborations
63,"Hi Everyone, interested in creating a team? (CLOSED)",180,609,27d,collaborations
64,Dress up my character and see the resualts,13,99,27d,collaborations
65,Do you need a Digital Colorist?,150,286,28d,collaborations
66,[UNPAID] A story writer looking for digital artists! Closed,29,128,28d,collaborations
67,Anyone looking for an artist for a comic? (artist seeking writer),562,1.4k,29d,collaborations
68,Deleted [Do not comment on this topic anymore],9,162,29d,collaborations
69,Looking for Artist for Collaboration (Webtoon/Manga) (Unpaid unless it gets published then rev will be split for 60/40. 60 being the artist 40 being the writer if it’s only 2 people.),305,181,29d,collaborations
70,"Aspiring writer with a solid story, looking for a manga artist (UNPAID)",0,215,29d,collaborations
71,Script writer looking for collaborations (Tambien hablo español),135,156,29d,collaborations
72,Writer looking for artists (or writers) to discuss future possibilities of collab.(unpaid),8,200,30d,collaborations
73,Looking for 2 extra comic book artist [Paid],308,260,Jul 4,collaborations
74,Looking For an Artist to Join Our Team,29,264,Jul 4,collaborations
75,LF for an Artist for a Webtoon Project [closed],789,176,Jul 4,collaborations
76,Looking for artists to get a cover for my Novel (PAID),8,303,Jul 4,collaborations
77,LGBTQ+ Shonen Comics,360,297,Jul 3,collaborations
78,Artist looking for background artist to collab with.(UNPAID),5,113,Jul 3,collaborations
79,Writer looking for an artist…(rev half split),308,262,Jul 3,collaborations
80,Looking for collaborator for experimental practice webcomic,8,291,Jul 3,collaborations
81,Looking For an Letterer/Typesetter (unpaid),204,90,Jul 2,collaborations
82,(All positions PAID) Looking for multiple artists for different projects,5,492,Jul 2,collaborations
83,I need help with my comic [closed],207,157,Jul 2,collaborations
84,Looking for an artist for Lezhin Comic,4,307,Jul 1,collaborations
85,Looking for an artist for small Q&A(unpaid),191,139,Jul 1,collaborations
86,"Artist looking for a BL/GL one-shot story for practice, considering",9,155,Jun 30,collaborations
87,"Artist LF anyone for short manga, no goal, no rev share, nothing, this is for fun",199,114,Jun 29,collaborations
88,Needing Support/Character Artist(s) for a horror story (unpaid),9,106,Jun 29,collaborations
89,Writer Need an script writer (closed),322,175,Jun 29,collaborations
90,Action/Horror novel cover needed. Paid in ink. Closed,2,211,Jun 28,collaborations
91,Looking for artist to make short comics (unpaid) (Closed),152,133,Jun 28,collaborations
92,Writer looking for a Scriptwriter,0,371,Jun 27,collaborations
93,Wanting get Artists prices on possible novel cover (Paid),150,266,Jun 27,collaborations
94,Writer Searching For Manga Artists’ Art Work,0,114,Jun 26,collaborations
95,Looking for an artist to commission for my novel cover [PAID] *CLOSED*,108,153,Jun 26,collaborations
96,Artist/ Writer seeking a potential comic co-creator ( any earnings split equal),2,267,Jun 26,collaborations
97,Jam Comic Part 2 (for writers & artists),188,281,Jun 25,collaborations
98,Looking for a replacement artist to continue my battle series (rev split),23,186,Jun 25,collaborations
99,Writer/Artist looking for Artist (Revenue Split),673,126,Jun 25,collaborations
