,titles,replies,views,activity,category
0,Draw Panel in your Style Event with a PRIZE!,13,193,21h,events and challenges
1,July COMICS CHALLENGE - Get Stuff Done!,193,2.3k,8d,events and challenges
2,BL novel Book Giveaway [CLOSED][International/Free shipping],363,238,17d,events and challenges
3,Draw Your Characters in the Retro 1920’s Disney?,2.3k,80,Jun 26,events and challenges
4,March Comic Madness Contest Final Results,16,215,Jun 25,events and challenges
5,YOUR COMIC HERE! 1 page per day thread,238,7.7k,Jun 21,events and challenges
6,Challenge time for writers and artists(itll be fun),2,101,Jun 21,events and challenges
7,I won the pride contest yay,80,233,Jun 18,events and challenges
8,March Comic Madness Contest Round 1 Results,15,355,Jun 9,events and challenges
9,FATHER’S DAY(belated): Let’s post your Dad Characters,215,145,May 26,events and challenges
10,🏳️‍🌈 Pride Comic Contest Voting OPEN 🏳️‍🌈,680,394,May 14,events and challenges
11,A small notice for premium authors,7.7k,139,May 9,events and challenges
12,March Comic Madness Contest (CLOSED/Reviewing in progress),0,951,May 9,events and challenges
13,Submit completed Series to Binge,101,2.2k,May 7,events and challenges
14,🏳️‍🌈 Pride Community Video 🏳️‍🌈,13,799,May 7,events and challenges
15,I made DTIYS till 11Jun,233,114,May 6,events and challenges
16,🧜 MerMay Art Challenge 🧜‍♂️,20,310,May 1,events and challenges
17,Kyoto International Manga Award Contest,355,157,May 1,events and challenges
18,Here is a writing prompt! Let me see your creativity!,11,233,Apr 25,events and challenges
19,The Queer Comics Expo: Ticket Sales + Discount Code,145,96,Apr 21,events and challenges
20,Draw your favourite art piece and post it along with your comic!,5,154,Apr 19,events and challenges
21,200th page Raffle!,394,89,Apr 15,events and challenges
22,Comment Contest and Ink Reward!,0,122,Apr 13,events and challenges
23,Last person to Bump this thread before the mods close it wins,139,778,Apr 9,events and challenges
24,Would you be interested in a concept-designing contest for my upcoming comic?,60,127,Apr 8,events and challenges
25,Describe your character WITH only pictures,951,440,Apr 8,events and challenges
26,✨ Asian American and Pacific Islander Creators Thread ✨,91,553,Apr 5,events and challenges
27,Quick!post your character along with photos of animals of what you think they are!,2.2k,143,Apr 2,events and challenges
28,May Events (Maysia and Mermay),35,144,Apr 2,events and challenges
29,Make your cheapest “Do not steal OC’s!”,799,444,Apr 1,events and challenges
30,WE HAVE A WINNER! VOTE for the most creative person at Tapas here,1,492,Mar 30,events and challenges
31,The Jens Richard dialog writer challenge,114,156,Mar 29,events and challenges
32,✨Its Here The Update! ✨,5,1.2k,Mar 24,events and challenges
33,Writing game: justifying the squishy wizard,310,185,Mar 23,events and challenges
34,RED’s CONTEST: The most creative person at Tapas,0,740,Mar 14,events and challenges
35,[Tapas Insider] Creating Worlds with Colors - Dojo,157,1.0k,Mar 13,events and challenges
36,OC Challenge (step by step),11,207,Mar 9,events and challenges
37,Autism Acceptance Month,233,152,Mar 1,events and challenges
38,"Today is Trans Day of Visibility, so let’s celebrate Trans Authors and Artists!",0,356,Feb 26,events and challenges
39,Make a sona/OC challenge!,96,260,Feb 23,events and challenges
40,April Fools’ Day Plans!,7,794,Feb 22,events and challenges
41,April fools’ game: We need to help China!,154,513,Feb 12,events and challenges
42,Happy Rock appreciation day!,1,344,Feb 8,events and challenges
43,Ghosts that scare you,89,147,Jan 28,events and challenges
44,"🍀 Novels Event 🍀 A Lucky Encounter (Chance to win 30,000 Ink!)",5,2.7k,Jan 24,events and challenges
45,A Museum Contest - Ink Giveaway,122,109,Jan 23,events and challenges
46,Draw your character as a dating sim!,108,761,Jan 21,events and challenges
47,[Tapas Insider] Our Inspirational Leading Ladies!,778,1.3k,Jan 2,events and challenges
48,Autism Acceptance 2021,7,400,Jan 1,events and challenges
49,Truth or Dare with or for your comics & novels!,127,210,Dec '20,events and challenges
50,Thread to boost Black comic creators here on Tapas!,34,5.0k,Dec '20,events and challenges
51,Contest: The battle for awesome: WIN A SUBSCRIBER AND A BINGE OF COMPLIMENTS FROM ME,440,590,Dec '20,events and challenges
52,Fan Art Contest with Amazon Gift Card Prizes (Closed: Results),38,480,Dec '20,events and challenges
53,Doing a livestream of my art!,553,129,Dec '20,events and challenges
54,BL is still going strong. Happy Birthday,11,148,Dec '20,events and challenges
55,"Get banned like never before, OPEN FOR NEW BAN NOW",143,569,Dec '20,events and challenges
56,The Great Tapas Easter Egg Hunt: EXTENDED DEADLINE 🥚,2,3.1k,Nov '20,events and challenges
57,Object Show Camp?,144,149,Nov '20,events and challenges
58,Lunar New Year 2021 Art contest! (CLOSED) Participate and recieve art of your original character!,35,319,Nov '20,events and challenges
59,2020 Autism Acceptance Collection (Please join!),444,1.1k,Nov '20,events and challenges
60,Creator Tutorial: Three-Act Structure,19,153,Nov '20,events and challenges
61,Contest Listing Thread,492,308,Nov '20,events and challenges
62,Contest (In need of judges) (CLOSED),7,146,Nov '20,events and challenges
63,[Tapas Insider] Your Tapas Valentine,156,2.3k,Nov '20,events and challenges
64,"[Tapas Insider] Work Stations - chance to win 5,000 bonus ink!",112,1.9k,Nov '20,events and challenges
65,How I made my Blue with only Emojis (Emoji art showoff),1.2k,209,Nov '20,events and challenges
66,5-th Annual Prism Awards,26,163,Nov '20,events and challenges
67,Self-Promo Assets: Create Your Own Promo,185,862,Nov '20,events and challenges
68,"Drawing Contest with prizes: commissions, prints, stickers, and in-episode features!",33,156,Nov '20,events and challenges
69,"Tapas Redraw & Rewrite Challenge 2021 (Chance to win 10,000 bonus ink!)",740,1.2k,Nov '20,events and challenges
70,"Thank you tapas for this wonderful assets, looks fantastic and giving original comic vibes.. And sharing with my tapastry family makes me feel so happy.. And this is my first comic, Crash crush",35,176,Nov '20,events and challenges
71,Expanding Tapastry,1.0k,548,Nov '20,events and challenges
72,"[Tapas Insider] Your 2021 Isekai (Chance to Win 5,000 Bonus Ink!)",4,2.2k,Nov '20,events and challenges
73,"Tapas 2020 Comic & Novel Summary (Chance to Win 10,000 Bonus Ink)",207,2.2k,Nov '20,events and challenges
74,How will you handle time travel?,11,328,Nov '20,events and challenges
75,"50,000 ink Giveaway (New Years Special)",152,589,Nov '20,events and challenges
76,Tapas Secret Santa: Completion,41,199,Nov '20,events and challenges
77,2020 Tapas Secret Santa Sign-Ups,356,1.5k,Nov '20,events and challenges
78,"[Tapas Insider] Reflections on 2020 (Chance to Win 5,000 Bonus Ink!)",0,2.0k,Nov '20,events and challenges
79,Post removed by author,260,390,Nov '20,events and challenges
80,2020 Tezuka Manga Contest,65,2.5k,Nov '20,events and challenges
81,Tapas character tier list!,794,758,Nov '20,events and challenges
82,2020 Event Challenge,83,119,Nov '20,events and challenges
83,"Ink giveaway: 10,000 ink as Holiday Celebration",513,205,Nov '20,events and challenges
84,Tapamon and Friends Winter Wonderland Art Challenge Submissions Gallery!,41,244,Nov '20,events and challenges
85,Tapamon & Friends Winter Wonderland Art Challenge,344,2.3k,Nov '20,events and challenges
86,"Happy holidays.. This is my submission for tapamon and friends winter wonderland art challenge. Let’s celebrate a happy safe Christmas.. Thank you tapas, for giving this opportunity",4,176,Nov '20,events and challenges
87,The second/third most awesome person could be you,147,348,Nov '20,events and challenges
88,Free shoutout to your story in my novel (promote your story),85,324,Nov '20,events and challenges
89,Describe the room where you create your comic!,2.7k,2.3k,Nov '20,events and challenges
90,Celebration SUB GOAL + contest (WIN a DRAWING) [CLOSED],0,356,Nov '20,events and challenges
91,Do you have something Christmas event 2020? (post it here),109,144,Oct '20,events and challenges
92,Many ends to the same beginning.- Write a short story![Closed],43,214,Oct '20,events and challenges
93,2020 Black Friday Deals for Software?,761,134,Oct '20,events and challenges
94,Contest coming soon $50 on Ko-fi,72,150,Oct '20,events and challenges
95,Inksgiving - Art Ideas?,1.3k,172,Oct '20,events and challenges
96,25 Sub Celebration! (Giving Away Ink to Other Creators),15,160,Sep '20,events and challenges
97,Inksgiving 2020 - WE’RE OFF AND GOING STRONG!,400,559,Sep '20,events and challenges
98,"#Inksgiving2020 75,000 Inks Giveaway",25,549,Sep '20,events and challenges
99,300 ink to all that can tell me (close),210,134,Sep '20,events and challenges
100,"I will reward all with ink to Inksgiving 2020, if… (close) )",87,496,Sep '20,events and challenges
101,1000 ink to the first 10 creator that comment and support me as last of 100ink (close),5.0k,160,Sep '20,events and challenges
102,Anyone want Ink? o wo (Ended),79,117,Sep '20,events and challenges
103,Inksgiving 2020 did you hit the goal or still need,590,278,Aug '20,events and challenges
104,Inksgiving blasting my campaign to the sky,14,282,Aug '20,events and challenges
105,A list of the creators with a Support Button. So you can easily find them under the INKSGIVING event. (Invite creator to set the link up),480,1.4k,Aug '20,events and challenges
106,Ink Giveaway - Happy Inksgiving!,6,385,Aug '20,events and challenges
107,The Inksgiving Fairy Rises Again,129,433,Aug '20,events and challenges
108,Ink Giveaway (6/6) - DONE!,0,192,Aug '20,events and challenges
109,Win up to 5000 ink or a cameo on my series. Inksgiving giveaway!,148,211,Aug '20,events and challenges
110,Inksgiving 2020 - your goal (A list of all the creators Inksgiving goals),29,472,Jul '20,events and challenges
111,Inksgiving 2020 - Instagram Live Event with creators!,569,240,Jul '20,events and challenges
112,"Inksgiving’s list. If you add-post yourself here, you have to ink a last one of the creator whit 100ink",170,807,Jul '20,events and challenges
113,I’ll double your ink! (Closed),3.1k,312,Jul '20,events and challenges
114,I need ink to give my brother a birthday present,1,119,Jun '20,events and challenges
115,Inkgiving free without asking for anything in return (closed),149,349,Jun '20,events and challenges
116,Nearing my goal of a 100 subs so I’m feeling generous :D FREE INK,18,375,Jun '20,events and challenges
117,Inksgiving 2020 giving and receiving List. (｡’▽’｡)♡,319,980,May '20,events and challenges
118,CREATORS: Inksgiving 2020 is here!,31,3.2k,May '20,events and challenges
119,And we’re off! Good luck everyone! Happy Inksgiving!,1.1k,2.9k,May '20,events and challenges
120,Answer the questions and get 100 ink from me (as support ink) - Inksgiving 2020,3,130,May '20,events and challenges
121,Draw a Catmen and get 500 ink (as support ink) and more… Under inksgiving 2020,153,114,Apr '20,events and challenges
122,How to link to your support site - Inksgiving tips,10,100,Apr '20,events and challenges
123,Inksgiving 2020 Special - Unlock your Support!,308,2.6k,Apr '20,events and challenges
124,"Who is your Comic Roommate? Join our 5,000 bonus ink raffle!",5,1.8k,Apr '20,events and challenges
125,When people can’t wait for Inksgiving (Poll),146,209,Apr '20,events and challenges
126,A call for help!,134,188,Apr '20,events and challenges
127,WRITING JAM: Mini-Series! [Started!],2.3k,1.1k,Apr '20,events and challenges
128,Inksgiving 2020 - I am here to help (close),109,879,Mar '20,events and challenges
129,Inksgiving 2020 (Let me support you!) [CONTEST CLOSED/WINNERS DECIDED],1.9k,403,Mar '20,events and challenges
130,Inksgiving 2020 - You probably have someone you ink very high. Tell us,9,270,Mar '20,events and challenges
131,Job Opportunity: Community Happiness Team Member at Tapas,209,1.3k,Mar '20,events and challenges
132,Contest: Draw me a Bande Dessinee! Closed,4,153,Feb '20,events and challenges
133,I’ll promote your story to my subscribers if you promote mine to yours,163,193,Feb '20,events and challenges
134,Secret Santa Sign Up Opens Nov 1,43,400,Feb '20,events and challenges
135,Writing Contest for Romantic Interactive Stories,862,131,Feb '20,events and challenges
136,If you not have unlocked the SUPPORT BUTTON the time is now… For the Inksgiving 2020,4,141,Feb '20,events and challenges
137,Contest Closed!,156,1.4k,Jan '20,events and challenges
138,"National Cat Day: Post ARTS/PHOTOS of your cats/characters, Meow!",59,284,Jan '20,events and challenges
139,A huge thank you! Tapas won Favorite Publisher!,1.2k,284,Jan '20,events and challenges
140,[TAPAS INSIDER] How we curate the Staff Picks section,2,3.8k,Dec '19,events and challenges
141,~ GL Debut Festival! ~ <3,176,1.4k,Dec '19,events and challenges
142,Moderation updates and new moderators!,38,1.6k,Dec '19,events and challenges
143,JOIN US! Halloween Zoom Horror Comic Art Drawing Class with some Tapas members!,548,184,Dec '19,events and challenges
144,[Site Update] Website Change Notes,81,5.6k,Nov '19,events and challenges
145,"Dead post, please delete",2.2k,934,Nov '19,events and challenges
146,Come Celebrate October with Murphy’s Law!,150,127,Nov '19,events and challenges
147,Subscription for a subscription,2.2k,432,Nov '19,events and challenges
148,Djinns - Chapter 1 end + DTIYS celebration <3,21,143,Nov '19,events and challenges
149,Comic Suggestions for tapas team,328,187,Nov '19,events and challenges
150,Is there Inksgiving this year?,58,337,Nov '19,events and challenges
151,Free Icon Requests!,589,814,Nov '19,events and challenges
152,Ringo Awards Nomination: Sarah Anderson,17,201,Nov '19,events and challenges
153,Buying Comics and Graphic Novels for Retail,199,214,Nov '19,events and challenges
