,titles,replies,views,activity,category
0,"Milestone Party Mega Thread (that killed the other ones)
Hello folks, To cut down on the surplus of milestone celebration threads and to close out our old Self Promotion Mega Thread for some fresh links, we’re combining the concepts into a new shiny space. From here on, this… read more",605,7.5k,20m,promotions
1,Post Your Latest Page - Aug 2021,7.5k,132,23m,promotions
2,One Year Anniversary Promo! XD,32,59,35m,promotions
3,Promote your work,132,139,1h,promotions
4,How would your protagonist fare against my protagonist in a fight?,13,1.1k,2h,promotions
5,Describe your main character,59,364,2h,promotions
6,Which character do you like to draw the most? (also promote your works!),57,33,2h,promotions
7,Just updated? Promote your comics/novelssssss!,139,698,3h,promotions
8,I’ll leave comments on your first three episodes,82,166,3h,promotions
9,Sharing my succubi series! share yours too!,1.1k,95,4h,promotions
10,Promote your series under 250 subs,82,1.8k,5h,promotions
11,Space Pirate #19! Lets see some other comics!,364,86,5h,promotions
12,Under 100 Subs Club! The goal is to leave,2,364,5h,promotions
13,Liking your comics and novels,33,716,5h,promotions
14,Promote you comic/novel with a meme,135,585,7h,promotions
15,Help me reach 250 subs,698,274,8h,promotions
16,"If you see this, this is your chance of promote your story (comic/novel)",38,343,9h,promotions
17,My comic on tapas,166,294,12h,promotions
18,Novel promotion,11,185,12h,promotions
19,Promotion - Tell us about Novel/Comic in Three Word,95,253,14h,promotions
20,"Novel under ‘FRESH’ category? Also, promote here and drop your links",306,159,20h,promotions
21,Under 100 subs comics and novel share,1.8k,3.1k,22h,promotions
22,Promote Your New And Amazing Novels Here!,14,265,22h,promotions
23,Promote your Comic/Novel Here Under 100 Subscriber,86,639,23h,promotions
24,🐻 Newly updated Anthro/Furry comics/novels,123,30,23h,promotions
25,Updated Your Comic or Novel? Share It Away!,364,22.6k,1d,promotions
26,Comics/Novels with a hidden message,110,262,1d,promotions
27,Asexual Characters,716,622,1d,promotions
28,Promoting my novel,46,102,1d,promotions
29,"Self promoting my novel, promote yours too! No amount of sub required!",585,868,1d,promotions
30,Check out my comics and manga collabs (Share your series here if you’re collaborating either with an artist/writer) I’ll check them out too!,68,37,2d,promotions
31,Don’t be scared and promote! promote! promote!,274,2.7k,2d,promotions
32,Promote character/s as a song or instrumental? Novel/comic!,74,148,2d,promotions
33,Best moment of your comic/novel so far?,343,314,2d,promotions
34,If I like your cover I’ll sub and read!,27,327,3d,promotions
35,Promote and make fans!,294,972,3d,promotions
36,An anouncment about my manga… It’s not bad new. (You can promote here if you like☺),35,119,3d,promotions
37,Just your COVER and LINK,185,4.6k,3d,promotions
38,Sub for sub! Trying to get as much subs as I can!,72,128,3d,promotions
39,QUICK sharing Series by ARTWORK,253,473,3d,promotions
40,Sub 4 Sub - Q.Your Character’s Height? Promote (Let’s help each other get subs!),13,287,3d,promotions
41,NEED HELP WITH PROMOTION. I can help you there,159,5.1k,3d,promotions
42,Anybody down for an exchange?,426,81,4d,promotions
43,Favorite Fantasy Creatures,3.1k,61,4d,promotions
44,New comic creators promote and introduce yourselves!,44,99,4d,promotions
45,Share your latest episode for August,265,110,4d,promotions
46,Anyone else writing about action and martial arts?,118,126,5d,promotions
47,Mirror Monster fan art contest,639,42,5d,promotions
48,Share Your Latest Social Media Post!,2,122,5d,promotions
49,It’s puppy time now.,30,337,6d,promotions
50,Sub and like for motivation!,3.4k,340,6d,promotions
51,Explain your novel/comic in one sentence that doesn’t explain anything,22.6k,809,6d,promotions
52,Tell me YOUR story (and show me your work),31,738,6d,promotions
53,Choose Your Own Adventure Story (Horror),262,37,6d,promotions
54,Artist Promotions,52,115,6d,promotions
55,Just updated your novel/ comic? Share it here!,622,1.1k,7d,promotions
56,Crime Novels/stories,27,63,7d,promotions
57,Nightmarevision - trying to promote,102,30,7d,promotions
58,I want to give out nice comments on your novel/comic!,112,3.2k,7d,promotions
59,Tell me about your novels/comics and let me read them!,868,1.3k,7d,promotions
60,Ko-fi! get yer Ko-fi’s here!,5,130,8d,promotions
61,POETRY TIME! **Promote your work and share your favorite poems**,37,52,8d,promotions
62,Comic’s new update. Share your new update!,353,94,8d,promotions
63,Share your novel/comic!,2.7k,244,8d,promotions
64,🏳️‍🌈Pride Month Promo!🏳️‍🌈,41,695,8d,promotions
65,"[🌈LGBTQ+, BL, GL] Show your couple (◕‿↼) and promote your comic/novel🌈💕",148,1.6k,8d,promotions
66,No one is successful alone! Let’s grow together,81,922,8d,promotions
67,LGBTQ+ Comics/Novels Thread,314,1.3k,9d,promotions
68,Close to hitting Ad Revenue on Webtoon and could use some help!,73,220,9d,promotions
69,SHOUT OUT - 2020 & 2021’s NEW CREATORS’ NEW COMICS and NOVELS,327,3.4k,9d,promotions
70,I reached 25 subs!,202,110,9d,promotions
71,I am about to reach 100 subs! - Promote your work!,972,309,9d,promotions
72,I reached 25 subs and now I get to make one of these topics (promote your stuff too lmao),12,115,10d,promotions
73,Novels and Comics with Cool Weapons,119,50,10d,promotions
74,"If your main character played a VRMMORPG, what would they be? Promote!",654,66,10d,promotions
75,Post Your Latest page - July 2021,4.6k,1.1k,10d,promotions
76,Let’s Play the Character Response Game,33,647,10d,promotions
77,Who wants an animated cover?,128,179,11d,promotions
78,Show your latest page in your comic! ^^,75,6.4k,11d,promotions
79,Noori’s Poems | use this to promote your story,473,111,11d,promotions
80,Share your promotional content for your work here!,47,248,11d,promotions
81,Promo - Kickstarter for my graphic novel!,287,40,12d,promotions
82,I’ll review/critique your art style (CLOSED FOR NOW),659,193,12d,promotions
83,Share your comic!,5.1k,24.4k,12d,promotions
84,"If you need help getting subscribers, then come here!",8,1.1k,12d,promotions
85,Share all your favorite pages from your comics ❤️,81,1.0k,12d,promotions
86,Advertise your novels… but badly!,4,5.3k,12d,promotions
87,"Target 25 reached! Head for next step, promote here",61,119,12d,promotions
88,Under 25 Subscribers Promotion,16,870,12d,promotions
89,Promotion Time!—Social Media Version,99,194,12d,promotions
90,PROMO! Strong FEMALE Leads!,23,579,12d,promotions
91,The Olympic Follow for a Follow!,110,90,13d,promotions
92,———- The fury of stray dogs,25,304,13d,promotions
93,Discord Server for online content creators,126,59,14d,promotions
94,Continuous topic to help!,1,228,14d,promotions
95,Promote your novels/comics with mature themes and warnings!,42,96,14d,promotions
96,Novel Roleplay Promotions 2021,19,54,14d,promotions
97,Newly updated comics post here!,122,1.4k,14d,promotions
98,Discord Server to boost Creators and works with less subscribers,42,64,14d,promotions
99,Feel Free to promote your novel in my thread,337,221,15d,promotions
100,Want 5 10 25 50 or 100 subs? feel free to promote here. Let’s help each other,59,320,15d,promotions
101,Knights Chronicles updated,340,41,15d,promotions
102,My Novel’s First OST Dropped Today!,140,125,15d,promotions
103,My comic turned 1 year old! (promotion),809,88,15d,promotions
104,Show your Comics,81,2.3k,15d,promotions
105,Want us to review your story in our web magazine? (Calliope),738,4.6k,15d,promotions
106,Your first novel? Let’s play and promote it!,0,933,15d,promotions
107,Tell me an interesting story about your story,37,289,16d,promotions
108,2021 Share Your Comics And Novels,7,1.3k,16d,promotions
109,🅲🅾🅼🅸🅲 ℕ𝔼𝕎𝕊 & 𝑪𝑶𝑴𝑰𝑪 𝑭𝑬𝑨𝑻𝑼𝑹𝑬𝑺 from COMICAD NETWORK!,115,400,16d,promotions
110,Share your art! Promote your comic!,214,200,16d,promotions
111,Your Top 3 favorite anime/manga (or both) and sub for sub,1.1k,151,16d,promotions
112,Sub for sub - World of Crave,5,232,16d,promotions
113,Use this to promote your novel/comic!,63,335,16d,promotions
114,Help me get to 500 subs before 2022,0,2.1k,16d,promotions
115,"The first episode of my first novel on Tapas, is going up in few minute",30,74,16d,promotions
116,Post your villains unleashing their power!,396,74,17d,promotions
117,"Are you an artist looking to promote yourself? Please read this, it’s for you ↓",3.2k,82,17d,promotions
118,New Sci-Fi Novels,303,110,17d,promotions
119,I just got to 100! share your comic!,1.3k,187,18d,promotions
120,"Trying to reach 25 subs or 100 subs, 250 subs?, any milestone get new subs here, promote your comic /novel, lets help eachother out by sub4sub",18,326,18d,promotions
121,A promotion and an impromptu interview,130,168,18d,promotions
122,"Hi, I’m new here and just wanted to introduce myself",6,115,18d,promotions
123,Just started a new Monster Girl Comic! And wondering where would be a good spot to advertise it,52,44,18d,promotions
124,Introducing my comic!,13,91,19d,promotions
125,Looking to connect with writers/artists on Twitter,94,124,19d,promotions
126,My comic did a thing… (Promo your work),62,208,19d,promotions
127,Promote your Novel/Comic by explaining your Main Character appearance,244,202,19d,promotions
128,Anyone wanna promote their Comics/Novels?,73,2.6k,19d,promotions
129,What Inspired you to make a comic or a write a novel?,695,224,19d,promotions
130,She’s my boss? CREATOR STORY,157,83,19d,promotions
131,I AM AT 90! Follow for a FOLLOW LETS ALL GET TO 100,1.6k,98,19d,promotions
132,"I need help with Promotion, in return I will draw your oc!",203,89,20d,promotions
133,Let’s reach 100 subs together ✌🏻🌸,922,111,20d,promotions
134,Share Your Latest Episode,124,988,20d,promotions
135,"Share your Survival Horror, Zombies, Gritty Superhero, Horror-dark-humor, Creature horror, Post apocalyptic, Found Footage horrors (Comics & Novels) let’s gain subs!",1.3k,168,20d,promotions
136,Manga style/B&W comics! Promote here!,29,149,20d,promotions
137,Completed Quick Reads! (comic/novels),220,99,20d,promotions
138,Top 4 in Trending for Fantasy Genre,172,136,20d,promotions
139,New here. Lets promote,3.4k,228,20d,promotions
140,"I will give critique, to your comics",21,116,21d,promotions
141,New creator / hi im new whats up?,110,93,21d,promotions
142,Promote your series!,86,1.2k,21d,promotions
143,RECOMMEND your FANTASY Story!,309,438,21d,promotions
144,A new Boys Love series,21,437,21d,promotions
145,"Let’s Read, Like, Comment and maybe sub to each others work!",115,149,21d,promotions
146,Let’s all get to 100 together!,4,235,21d,promotions
147,LGBTQ Comic / Cover commissions / Novel Promotions!,50,75,21d,promotions
148,Sooooo close to that first 100 … Let’s give each other a boost!,5,159,21d,promotions
149,Do you write LGBT+ stories? Share them here!,66,274,21d,promotions
150,Promotion with chapter/volume/comic covers!,215,338,21d,promotions
151,Promo your Sci-fi comic/novel!,1.1k,1.1k,21d,promotions
152,"Looking for a short SHORT story? I got you! (Share your short stories, I am sick and bored)",65,133,21d,promotions
153,Your comic on TV Tropes,647,390,22d,promotions
154,Way to 250 subs! Share your comics and novels!,14,442,22d,promotions
155,For those that don’t have a lot of subscribers let’s promote our work!,179,447,22d,promotions
156,"Pieces under 200 subs, big or small share your work here!",758,4.2k,22d,promotions
157,Sub 4 Sub Promote,6.4k,392,22d,promotions
158,Want new subs ☠️ Sub to mine and I will return 🎸,18,113,22d,promotions
159,Paste a link to your series and I’ll view,111,949,22d,promotions
160,"Need 5 subs, 10 subs, 50 subs, 100 subs? Let help each other out by Subscribing each other",37,237,23d,promotions
161,I’m making a video project! (Queer and Goofy),248,69,23d,promotions
162,New Art Style. Feeling nervous >.>,0,100,23d,promotions
163,Marked Child - Witch and Prince Hunt,40,45,23d,promotions
164,"Tunnel, What should I do?",26,66,23d,promotions
165,Post your protag surpassing their limits!,193,103,23d,promotions
166,Let’s reach 100 Subs together!,763,384,23d,promotions
167,Shameless Plug: my Tapas Novel is now COMPLETE - Share yours!,24.4k,124,23d,promotions
168,The strongest promo!,159,388,24d,promotions
169,"Under 20 Subs Share your novel, Add/Sub and support each others novels 😀 💚💖",1.1k,3.5k,24d,promotions
170,Let Me Read Your Furry Comics!,89,900,25d,promotions
171,Beginner Writers (Novels/Comics),1.0k,111,25d,promotions
172,Describe Your Comic/Novel Badly,151,5.4k,25d,promotions
173,Here am I… a new newcomer into the Tapas comunnity,5.3k,208,25d,promotions
174,Will read your work [Novels/Comics],23,674,25d,promotions
175,Share your story & socials!,119,428,26d,promotions
176,If I like your music I’ll Subscribe!,122,156,26d,promotions
177,Fan theory time!,870,64,26d,promotions
178,Artwork done from mouse,28,155,27d,promotions
179,Convince me to read your story with one line,194,1.2k,28d,promotions
180,Aspiring Mangaka here,67,165,28d,promotions
181,Promo Time: Book Cover Edition (Novels only please!),579,225,28d,promotions
182,Question of the day- appearance edition!,11,123,28d,promotions
183,"My comic (BL) is back after 1 month of hiatus! - Share your BL comics, too!",90,67,29d,promotions
184,Promoting your novel/comic by explaining your cover art,24,587,29d,promotions
185,New Fantasy GL Novel Published,304,48,29d,promotions
186,Looking for (ongoing) novels with less than 10 chapters!,0,118,29d,promotions
187,50 Subs and Under - Let’s Support Each Other!,59,729,29d,promotions
188,My First Comic! Check it out if you have time!,13,131,30d,promotions
189,"Manga artists, post your comic!",228,159,Jul 5,promotions
190,Horror! Get Your Horror! Comics and Novels!,14,219,Jul 5,promotions
191,Newbies Promotions,96,208,Jul 5,promotions
192,Novel Criticism: Let’s post our novels and critique each others’ first chapter (nicely of course!),3,634,Jul 4,promotions
193,Weekly Artist Promo (7/18/2021),54,93,Jul 4,promotions
194,Share your character designs and promote your comic or novel!,220,168,Jul 4,promotions
195,New to here! promoting my manga!,1.4k,451,Jul 4,promotions
196,I’m so close to 100! Follow for a Follow!,0,82,Jul 4,promotions
197,5 facts about your main character,64,1.2k,Jul 4,promotions
198,August Space Pirate Cross-promo! (0/3 filled),37,56,Jul 4,promotions
199,"New Here, Posted My First Novel. Post yours as well",221,434,Jul 4,promotions
200,Novelists Promote Your Upcoming Novels!,112,2.1k,Jul 3,promotions
201,Underated NOVELS club (fresh novel recommendations and promotions),320,1.2k,Jul 3,promotions
202,Share your 1+ year old comic,0,169,Jul 3,promotions
203,Charm Game - Promote Your Comic/Novel!,41,228,Jul 3,promotions
204,"Introductions 2020 – Make Friends, Meet Creators, Say Hello to Your Fans",6,7.2k,Jul 3,promotions
205,Funny Quotes/moments from your novels,125,103,Jul 3,promotions
206,Shout out for another author,12,470,Jul 3,promotions
207,Promote your social media!,88,221,Jul 3,promotions
208,What’s your favorite trope you included into your comic/novel? +promotions,267,182,Jul 3,promotions
209,Updates baybeeeee (novels & comics),2.3k,514,Jul 3,promotions
210,New novels! Self promotion yourself!,256,147,Jul 3,promotions
211,Tapastic BR-PT! \ó/\ô/\ò/ [Tapastic em português],4.6k,9.3k,Jul 3,promotions
212,How does you power/magic system work? ALSO PROMOTE HERE,132,292,Jul 3,promotions
213,Judging your novel/comic based on your description,933,218,Jul 2,promotions
214,Promote your stuff here! Comics and Novels of all kinds,41,229,Jul 2,promotions
215,Quadrinhos Brasileiros,289,13.3k,Jul 2,promotions
216,Post your comics under 30 subs,177,3.2k,Jul 2,promotions
217,Don’t let this thread go down!,1.3k,458,Jul 2,promotions
218,Crosspromote your comics with mine!,11,810,Jul 2,promotions
219,"SUB for SUB, READ for READ! Read 1 page and I sub! PROMOTE FOR REAL!",400,592,Jul 2,promotions
220,"I will subscribe and read at least 5 chapter, and give feed back, for a subscribe! Please promote your comic, novel, and art!",33,284,Jul 2,promotions
221,LLAMAPOCALYPSE! Share your comedy novels!,200,114,Jul 1,promotions
222,The Kindness of Strangers: Promote Someone Else’s Work,30,452,Jul 1,promotions
223,I started a second novel! Share yours!,151,171,Jul 1,promotions
224,"For those with a hand in Comedy, Show Yourself",31,254,Jul 1,promotions
225,Promote your comics /novels 😁,232,134,Jul 1,promotions
226,Please help me reach 25 subs on this story,66,62,Jul 1,promotions
227,Under 25 subs Promotion Gang!,335,617,Jul 1,promotions
228,Share here your art IG and lets make friends!,192,112,Jun 30,promotions
229,Arts from Novels or Comics!,2.1k,290,Jun 30,promotions
230,"Sci-fi creators, promote your stuff here!",6,255,Jun 30,promotions
231,Promote your series (comics and novels),74,685,Jun 30,promotions
232,First 25 subscribers! Follow for follow!,3,142,Jun 30,promotions
233,Check out my new story and Share your stories/comics,74,135,Jun 30,promotions
234,For anyone who likes BL novels,0,170,Jun 30,promotions
235,Drumming up some interest,82,49,Jun 30,promotions
236,I’m just starting out! Wishing for people to acknowledge my work,12,71,Jun 29,promotions
237,"Hello, I want to look at other’s art for inspiration !",110,105,Jun 29,promotions
238,My novel Yumekoroshi,35,102,Jun 28,promotions
239,Let’s reach the first milestone together!,187,92,Jun 28,promotions
240,Sub for sub…post only if you are sure you’ll subscribe to others stories ofcourse those who will subscribe to yours,53,394,Jun 28,promotions
241,First 50 subscribers! Follow 4 Follow,326,103,Jun 28,promotions
242,Entertain me- Likes and comments,17,173,Jun 28,promotions
243,Taking the Next Step!,168,241,Jun 28,promotions
244,Promote your comic under 50 subs,16,163,Jun 28,promotions
245,It’s non-binary awareness week! Drop stories by non-binary creators/featuring non-binary characters here! 💛🤍💜🖤,115,202,Jun 28,promotions
246,Under 50 subs; Gather round and promote,0,455,Jun 28,promotions
247,Chapter 7 of Seen from Shadow,44,33,Jun 28,promotions
248,Comic update #2,7,58,Jun 27,promotions
249,Show off some superhero comics!,91,55,Jun 27,promotions
250,PROMO! Share Your Characters!,17,331,Jun 27,promotions
251,Promote your novels and comics! any amount of subs aloud,124,2.2k,Jun 27,promotions
252,Weak to Strong (Comic/Novel),38,114,Jun 27,promotions
253,Post Your Webcomic/Novel/Webtoon and let’s gain together!,208,3.3k,Jun 27,promotions
254,"I will read, like and maybe subscribe to your work! (Comic/Novel)",35,828,Jun 27,promotions
255,It’s my birthday and the grand return of Edible Green Tea!,202,62,Jun 27,promotions
256,Which Hogwarts house do your characters belong to?,333,189,Jun 26,promotions
257,Help with new subs? Let’s try to solve it,2.6k,289,Jun 26,promotions
258,New novels come here to share!,39,76,Jun 26,promotions
259,Promote Your Novel by Genre! [Self-Promote] [Epic Me Time],224,2.3k,Jun 26,promotions
260,Judge the comic/novel by its cover,5,149,Jun 26,promotions
261,I will write a review for the first 10 who subscribe,83,203,Jun 26,promotions
262,Promote your Novel! (no comics),10,1.1k,Jun 26,promotions
263,Post your protag’s first encounter with a legitimate enemy!,98,76,Jun 26,promotions
264,"Hey, what is your favourite character to draw in your webtoon",2,239,Jun 26,promotions
265,*Our Sanctuary* So Close to 100!,89,72,Jun 25,promotions
266,"“Youniverse: Gaia”, my very first novel",21,51,Jun 25,promotions
267,Comics Under 100. Feel free to spread the word!,111,860,Jun 25,promotions
268,Sub for sub - just under the milestone,184,100,Jun 25,promotions
269,Question of the day- cook edition,988,83,Jun 25,promotions
270,Promote your Novel/Comic with a anti-hero mc!,33,192,Jun 25,promotions
271,Kofi Share Thread,168,405,Jun 25,promotions
272,Promote your comic,24,441,Jun 24,promotions
273,"Promotions and Critique, improve your comic and build an audience!",149,166,Jun 24,promotions
274,KoH English Translation is on GOING!,7,69,Jun 24,promotions
275,Weekly Artist Advertisment (7/11/21),99,173,Jun 24,promotions
276,Seen from Shadow 6th chapter!,8,50,Jun 24,promotions
277,New CHIBS comic strip,136,53,Jun 24,promotions
278,What is a weird/uncomfy thing you had to research for your story? Promo your stories!,39,605,Jun 24,promotions
279,Question and promos- sleep edition!,228,128,Jun 23,promotions
280,Share your GL comics and stories!,7,224,Jun 23,promotions
281,"If I am already an author, why am I still poor? (Promotion thread!)",116,201,Jun 23,promotions
282,Question of the day- sick edition!,6,118,Jun 23,promotions
283,LGBTQ+ Promos! Share your work!,93,228,Jun 23,promotions
284,"I want to discover new BL novels, promote yours!",217,186,Jun 23,promotions
285,Help my Novels get to 100 subs! [Sub for Sub thread],1.2k,72,Jun 23,promotions
286,"Can y’all check out this Novel that i am writing, its a reverse-isekai",89,73,Jun 22,promotions
287,New character design from my novel,438,80,Jun 22,promotions
288,‘older’ creators (25+) let’s support each other!,7,666,Jun 22,promotions
289,Post your commission info!,437,678,Jun 22,promotions
290,What do you prefer? Comic or Novel? Promote yours here!,22,272,Jun 22,promotions
291,"Read for read, for novels and comics!",149,85,Jun 22,promotions
292,Character question of the day- religion edition,38,190,Jun 22,promotions
293,KMO UPDATE!,235,243,Jun 22,promotions
294,What If You Were Reincarnated into Your Novel/Comic?,2,301,Jun 21,promotions
295,1 Year anniversary,75,80,Jun 21,promotions
296,"Just starting out, help me get to 25 subscribers",22,216,Jun 21,promotions
297,This is my comic!,159,88,Jun 21,promotions
298,Come read my comic (Pt/English/Español) and share yours too ♥,44,50,Jun 21,promotions
299,Alien Salesmen Season Two is Now Releasing on Tapas!,274,41,Jun 21,promotions
300,Character question of the day- family edition,64,83,Jun 21,promotions
301,It’s a Monday…share your updates~,338,191,Jun 21,promotions
302,New here! Would you give me feedback?,32,57,Jun 21,promotions
303,Come support these small creators! (and promote your work under 100 subs),1.1k,2.5k,Jun 21,promotions
304,Will comment and like your comic or novels if done to mine 💅🏻,17,84,Jun 21,promotions
305,Sukuya the hero,133,43,Jun 20,promotions
306,Questions and promos- friend edition!,31,86,Jun 20,promotions
307,Getting medieval with promos,390,136,Jun 20,promotions
308,4th OF JULY PROMOTION,83,359,Jun 19,promotions
309,Binge-able Comics (100+ chapters),442,51,Jun 19,promotions
310,"Teach Me, Ami Comic Promotion",66,66,Jun 19,promotions
311,"CHIBS, my comic strip series",447,70,Jun 19,promotions
312,"Sub to my novel, and then promote your novel/comic for a follow back!",511,46,Jun 19,promotions
313,My hero academia Fanfic ( trying to reach 25 subscribers),4.2k,49,Jun 19,promotions
314,Sub for a Sub? Novel/Comic [Closed],92,153,Jun 19,promotions
315,Pass the love backwards v2(?),392,61,Jun 19,promotions
316,Trying hard to reach 250,13,235,Jun 19,promotions
317,Help me gets sub and I’ll sub back!,113,152,Jun 19,promotions
318,These Feelings BL,154,60,Jun 18,promotions
319,Check out my work <3,949,73,Jun 18,promotions
320,Art from Seen from Shadow characters,72,46,Jun 18,promotions
321,Questions and Promos- Temper Edition!,237,84,Jun 18,promotions
322,"My first 25 subs, thank you!",0,56,Jun 18,promotions
323,Comeback from Hiatus - At the End of the World,69,63,Jun 17,promotions
324,Comment for comment and like for like,11,160,Jun 17,promotions
325,"I just started a new comic, feel free to share yours",100,362,Jun 17,promotions
326,Whats the meaning of your main character’s name and share your comic/novel,0,879,Jun 17,promotions
327,Looking for some out of the normal comics to read,45,276,Jun 17,promotions
328,Read for a Read! Comic Promotion!,0,107,Jun 17,promotions
329,"Take a look at each other’s novel/comic, and give each other subscribers",66,179,Jun 16,promotions
330,Post your latest page - June 2021,4,1.2k,Jun 16,promotions
331,I made myself a website for my clients!,103,57,Jun 16,promotions
332,Questions and promos- manner edition!,68,55,Jun 16,promotions
333,Who’s your most favorite character in your comic/novel?,384,157,Jun 16,promotions
334,Questions and promos - wound edition,19,150,Jun 16,promotions
335,Space Pirate 18! Share your comic!,124,85,Jun 16,promotions
336,I can draw for you,91,115,Jun 16,promotions
337,Subscribe For Art!,388,83,Jun 15,promotions
338,Questions and promos- two for the day : D,179,190,Jun 15,promotions
339,"100 Subs, follow for follow~",3.5k,429,Jun 15,promotions
