,Topic Title,Category,Tags,Leading Post,Post Replies,Created,URL,,,,,,,,,
0,[Read Before Reporting Bugs] How to Report Bugs,Tech Support | Site Feedback,[],[],[],0,https://forums.tapas.io/t/read-before-reporting-bugs-how-to-report-bugs/52293,,,,,,,,,
1,Unable to Activate Support,Tech Support | Site Feedback,[],"When I try to activate support it redirects to an error page:

Was wondering if I could get this fixed.  I tried to send an email but haven't received a response.","['@ratique could we get some help please?', 'hold up, 10k subs ? Did you have problem with activating for a while ? Did you clear your cookies? Email them more even if you think you are annoying (ofc dont send mail every minute, but two a day are fine) since maybe your mail got buried Anyhow, whishing you best of luck', '\n\ntapas.io5\n\n\n\nspacewitch ♡\nFictosexual | Asexual | She/They | I like to make webcomics and draw fan art.\n\n\n\n\n\n', ""I don't see the option anymore so I assume that means it's activated? Thank you!"", ""I'm hopping in this thread instead of making a new one because I'm having a similar issue. The subscriber milestone on the sidebar isn't unlocking, so I can't get to the next step. \n\n\nimage.png725x485 260 KB\n\nHere's my account link for reference:\n\n\ntapas.io3\n\n\n\nArcisOne\nAuthor, novelist, memer. I apologize for killing your favorite character. \n\nWhen I'm not writing, I cease to exist on the mortal plane. \n\nWriter of The Grand Priestess and The Tenth Realm.\n\n\n\n\n\nIf you could look into it and activate it if possible, that would be great! Thanks so much."", 'Everything works! The milestone issue is resolved now as well. Thanks for the quick fix! I appreciate it. ', ""Sorry for messaging again, but my co-writer apparently has an issue logging into the forums so they can't post. \nThey were hoping to get ink support unlocked as well! They're listed as a co-creator on the series page for the novel, but it seems the feature needs to be unlocked separately for their account. \n\n\ntapas.io1\n\n\n\nnoriati\nAuthor, comic writer, torturer of characters. If your favorite character dies, blame Arcis.\n\nWhen I'm not writing, I enjoy playing videogames, watching anime, and reading. If my cats allow me, sometimes I leave my house.\n\nTo read my work, check...\n\n\n\n\n\nThanks again!""]",8/14/2021 5:04,https://forums.tapas.io/t/unable-to-activate-support/62980,,,,,,,,,
2,Freezing and Crashing on Mobile Devices; Lag on Laptops,Tech Support | Site Feedback,[],"Hello, I'm user Thirdly on tapas. I didn't know where to report this, but I have been noticing a frequent freezing up on some of my favorite comics that didn't happen about a month or so ago. It's been happening on all my mobile devices. It's on comics like #Muted by kandismom. I love the comic and the artwork, but I can't for the life of me read the last several updates on my mobile devices (where I used to before with no difficulties). The pages freeze and the tapas app crashes. I don't know if it's the high resolution of the images, the increased traffic of a popular comic, or a mixture of both that is causing it. But, I can confirm that on my laptop, there is a definite ""lag"" and ""drag"" whenever I try to scroll down to read the pages...while on my mobile devices, it just freezes up and crashes (my mobile devices are an LGK40 and an iphone, which is why I am so concerned...my LGK40 has limited memory, but my iphone is downright empty).","[""I don't have my iphone or laptop on me, but I can give out the information on my usual phone and will give you more information on the others later today when I'm home-\nMobile Device: LG K40OS: It's saying Android version 9 (there was actually an update when I checked it, so I am testing as I go)Browser: Actually, when I couldn't use the apps, I would try the browser and it worked a little better (I used Chrome on one and Safari on the other)App versions: LG K40- version 5.5.4 (which I don't think was the version I had before)\nI will keep an eye on the LG K40 and keep you updated. I hadn't expected the system update. I will also check in later with the stats of the other devices."", 'Continuation: When I got home, my iPhone had an update, too. As of right now, the LG K40 has been performing well with the tapas app after the system update. I tested it on the latest episodes of The Violinist and the Nerd and there was a bit of a stutter, but it did not freeze. \nMy IphoneSE, however, is still crashing even after its system update. The version of tapas in the App Store is 5.5.1.', 'Yes. It is IOS 14.4. Sorry for the late reply.', 'Update: Unfortunately, my old little iPhone SE can’t even open tapas up on safari, it forces you to use the app. But, the app continues to crash (and most often on recently updated, popular novels and comics). \nMeanwhile, my LG K40 is doing fine.', ""Hi Victoria, I also have this problem specifically on my mobile device. It started from the first update last month. After that some days it is working fine, some days not. But it got worse from the last update a few days ago. There were many times that the app is still loading then it freezes. Sometimes I can't get thru a chapter without restarting the app multiply times. It is quite frustrating.\nHere's the device I'm using:Device: iPhone7 PlusOS: IOS 14.4Browser: SafariApp Version: 5.5.2"", ""Hello @victoria1\nSince 2 days ago, Tapas app in my iphone can not be open. when i touch to open the app, it appears the Tapas logo with yellow background for a while, then it just puff gone.\nHere is the information : Device : iPhone 11 Pro MaxOS : iOS 14.7.1Tapas app Version : 5.9.3\nI hope this problem can resolve soon. As for now, I'm reading Tapas thru web page."", 'Hi Victoria, \nI think I only downloaded around 30 episodes. I used to downloaded more than that, but those are from the comic that I bought.But those episodes are already gone.', ""Hi Victoria, @victoria1\nJust now, I'm trying to open the Tapas App but still not working.Do I need to reinstall the app ?or what should I do ?"", 'Hi Victoria @victoria1\nI can\'t clear  Tapas app cache because there is no ""clear cache"" option available in Setting-Tapas app.So, I decided to delete the app and then reinstall the app again.And voila! it works! Thanks Victoria\nBest regardsPriscilla']",2/10/2021 16:10,https://forums.tapas.io/t/freezing-and-crashing-on-mobile-devices-lag-on-laptops/54806,,,,,,,,,
3,Draft bug for copying text on Chrome,Tech Support | Site Feedback,[],"This is the second time this happened, so I'm just gonna create a thread here in case anyone else has experienced this. 
Whenever I copy text from Google docs into an episode draft on tapas on a chrome browser, it does not save what I have just copied if I don't schedule the episode and exit the draft, so when I reopen the draft episode later the copied text is gone. 

don't know if this bug happens on other browsers as well
don't know if the file saves if I make changes when it's opened on tapas 
the draft, tags, title and description are saved
",['All the time. I hear your pain. I just lost something the SECOND time and I just have to put it down now...'],8/12/2021 22:33,https://forums.tapas.io/t/draft-bug-for-copying-text-on-chrome/62421,,,,,,,,,
4,App will not open,Tech Support | Site Feedback,[],"For some reason, I'm incapable of opening the Tapas app on my phone. Typically when I open it, it spends a few moments loading before displaying the app as normal, however for the past half hour or so, it loads for a few moments and then kicks me back to the previous screen. I am in a place with good wi-fi, I've tried turning my phone off and on again, no change. 
Is this an issue that will resolve itself with a bit of patience? Should I delete and reinstall the app? Or is there something else I should do? Advice appreciated. Thank you.","['Try deleting and reinstalling it', 'Seems to be opening properly now, thank you.']",8/12/2021 19:32,https://forums.tapas.io/t/app-will-not-open/62904,,,,,,,,,
5,Please delete my series,Tech Support | Site Feedback,[],"I've been in contact with Tapas support for many, many weeks and after many exchanges I had been told by a person that they will forward my deletion request to tech support. Please delete my series and account for me because it won't allow me to do it. Months later, my empty series and account is still up, they had now begun to my ignore my emails as well. I'm tired. No matter what I do, mobile or desktop, this message pops up:

Oops!
Uh oh, something went wrong. Sorry about that! Help us fix it by reporting what happened.

Others can delete their accounts just fine, meanwhile I have to deal with technical issues and no one helping to a simple request.","['@ratique @victoria1', ""Hello, what's your email address and the user name? I will delete the account for you,""]",7/31/2021 5:46,https://forums.tapas.io/t/please-delete-my-series/62370,,,,,,,,,
6,HELP PLEASE! I cannot use the publish function for COMICS,Tech Support | Site Feedback,[],"Hi, I wonder if anybody encountered the same problem as I did. I clicked the PUBLISH button again and again but was not redirected to where I can upload my comics, but was redirected to the tapas.io site.
Here's what I mean:
When I login and click Publish, https://tapas.io/dashboard from here I should be redirected to https://tapas.io/dashboard/series/create?type=comic1 but I always get redirected to tapas.io site instead.
Any advice or solutions would be greatly appreciated!","['@gigitan could you please send a link to your site profile? Did you try the usual, like clearing cookies, cache and all that?\n@victoria1 @Jenny-Toons @joannekwan help please?', 'try writing to tapas, it might be problem on servers']",8/10/2021 4:14,https://forums.tapas.io/t/help-please-i-cannot-use-the-publish-function-for-comics/62779,,,,,,,,,
7,Difference between page and dashboard number of views,Tech Support | Site Feedback,[],"I'm a bit confused about the number of views in my novel, as my Novel page has a number while my dashboard has a different one. Is there a bug or is there a difference between page and dashboard counts?","[""If you have more than one novel/comic, then the dashboard shows the total views for all of them. If you only have one novel then I'm not sure."", ""Just one novel. That's what's confusing me."", 'My guess would be that those are updated at different times and rounded off differently', ""I have the same issue. Dashboard says that I have 5.7k views and 712 likes, actual comic page says that I've got 5.4k views and 702 likes. Been like that for more than a few months .__."", 'It could be because some people have their reading list set to private.  So when you go to the ""public"" comic page, the numbers would be lower than what you see on your dashboard.  Just a guess from a programmer.']",8/9/2021 23:28,https://forums.tapas.io/t/difference-between-page-and-dashboard-number-of-views/62768,,,,,,,,,
8,Issues with notifications,Tech Support | Site Feedback,[],"Hi, I wonder if you could help?
I've received a message from someone saying they have subscribed to my novel, however, no notification appears on my dashboard and their name does not appear in my subscriber lists. 
I have contacted them to let them know this, and they have said they tried unsubscribing and subscribing again, as well as attempting to subscribe from their laptop, however, the problem still persists.
I am unsure whether the problem is with my account or there's and would be grateful for you assistance.
Many thanks",[],0,https://forums.tapas.io/t/issues-with-notifications/62743,,,,,,,,,
9,Getting logged out often,Tech Support | Site Feedback,[],"I get logged out of this site fairly often, maybe once a week or two, on both mobile and desktop. No other sites I use log me out with this frequency, is this intentional? I want to stay logged in indefinitely, but that doesn't seem to be an option here...",[],0,https://forums.tapas.io/t/getting-logged-out-often/62725,,,,,,,,,
