,titles,replies,views,activity,category
0,"[Read Before Reporting Bugs] How to Report Bugs
If you are experiencing any technical problems or bugs on our website, please provide us with as much information as possible to expedite the process. Please use this template: Describe the bug: A clear and detailed… read more",2,408,Dec '20,tech-support-site-feedback
1,HELP ME PLEASE! platform problems :c,408,52,14h,tech-support-site-feedback
2,Tapas Link didn’t work on App,6,37,2d,tech-support-site-feedback
3,Please delete my series,52,167,2d,tech-support-site-feedback
4,Where the f is the Darkmode?,3,82,3d,tech-support-site-feedback
5,Draft bug for copying text on Chrome,37,34,3d,tech-support-site-feedback
6,"Lost all my text on draft, help please!",2,129,4d,tech-support-site-feedback
7,FIXED Username taken - but I can’t find it,167,92,5d,tech-support-site-feedback
8,Text error Fight like a girl episode 41,9,56,6d,tech-support-site-feedback
9,My bookmark moves whenever the comic I’m reading updates,82,85,8d,tech-support-site-feedback
10,Mature filter is turning on itself,0,90,9d,tech-support-site-feedback
11,NSFW filter keep turning on,34,1.3k,12d,tech-support-site-feedback
12,New SPAM account,8,108,14d,tech-support-site-feedback
13,Ad revenue problem!,129,546,14d,tech-support-site-feedback
14,Bug: Early Access comics don’t remember my place,0,134,15d,tech-support-site-feedback
15,This is an ad.. Is this allowed?,92,159,16d,tech-support-site-feedback
16,Can’t activate Support Option even after reaching Milestone,3,167,16d,tech-support-site-feedback
17,Tapas Blocked My Entire Series For ‘Child Endangerment Content’,56,893,21d,tech-support-site-feedback
18,My original series was blocked - help/advice needed,5,121,23d,tech-support-site-feedback
19,Missing Support Revenues,85,69,23d,tech-support-site-feedback
20,SOLVED – My Premium Novel showing up as unlisted?,1,145,23d,tech-support-site-feedback
21,"Tapas whats up with the unsubscriptions after each time i get a new sub, seems very suspicious",90,274,25d,tech-support-site-feedback
22,Comic doesn’t appear in Fresh section,10,170,26d,tech-support-site-feedback
23,“I’m not a robot” confirmation issues,1.3k,198,27d,tech-support-site-feedback
24,Didn’t get ink I purchased after 3 days,2,47,27d,tech-support-site-feedback
25,Error with Episode Order,108,133,27d,tech-support-site-feedback
26,"Chapter saved as draft, but text gone?",32,58,27d,tech-support-site-feedback
27,People can’t see my comic,546,96,28d,tech-support-site-feedback
28,Dreame Site Spam,5,158,28d,tech-support-site-feedback
29,Any way to switch to Dark Mode on Tapas (desktop/browser version)?,134,57,29d,tech-support-site-feedback
30,. tapas deleted my account ? pls help,8,140,29d,tech-support-site-feedback
31,Whenever I download episodes on Tapas the app crashes,159,59,Jul 2,tech-support-site-feedback
32,I just…deleted everything,6,510,Jul 2,tech-support-site-feedback
33,"I’m starting to feel a bit CONCERNED about Tapas official releases (Technical Support, please!)",167,201,Jul 1,tech-support-site-feedback
34,Text alignment for novels no longer work,34,80,Jul 1,tech-support-site-feedback
35,Video recording and editing apps,893,1.2k,Jun 30,tech-support-site-feedback
36,Tapas’ pages takes too long to load,2,54,Jun 30,tech-support-site-feedback
37,Why my last two post is disappeared? It could happen to you too!,121,456,Jun 28,tech-support-site-feedback
38,I can’t view my own empty series,2,104,Jun 27,tech-support-site-feedback
39,A little help? Blocked Story?,69,73,Jun 26,tech-support-site-feedback
40,How did I get a Tapas notification when it’s blocked?,4,372,Jun 24,tech-support-site-feedback
41,Weekly performance reports,145,120,Jun 23,tech-support-site-feedback
42,[Bug] Chapters: Interactive Stories for 2k Ink,9,67,Jun 22,tech-support-site-feedback
43,SPAMMER in COMMENTS Doing Rounds Again,274,563,Jun 22,tech-support-site-feedback
44,My novel isn’t showing up on the site,4,102,Jun 21,tech-support-site-feedback
45,Suggestion: bring different languages to the page,170,84,Jun 20,tech-support-site-feedback
46,How long does it take Tapas to answer an email?,4,106,Jun 19,tech-support-site-feedback
47,Episode number out of order,198,57,Jun 19,tech-support-site-feedback
48,“Descending order” series setting does not “start readers from your most recent episode”,0,290,Jun 15,tech-support-site-feedback
49,Is there anyway to report a page missing on an official comic?,47,93,Jun 15,tech-support-site-feedback
50,Again no ink for reading (5 vs 200 episodes require),7,97,Jun 11,tech-support-site-feedback
51,Images broken in comics,133,56,Jun 11,tech-support-site-feedback
52,Posting on pages error,1,55,Jun 10,tech-support-site-feedback
53,My Account Milestone was resetted,58,217,Jun 10,tech-support-site-feedback
54,Forgot both email and backup email for sign in,3,57,Jun 10,tech-support-site-feedback
55,Can’t see novels on app,96,63,Jun 8,tech-support-site-feedback
56,Error when I preview,3,86,Jun 7,tech-support-site-feedback
57,CSP Text tool help,158,90,Jun 7,tech-support-site-feedback
58,Can’t get in contact with tech support for a bug on my creator’s page. Help!,8,159,Jun 6,tech-support-site-feedback
59,Is there a problem in Tapas APP?,57,105,Jun 4,tech-support-site-feedback
60,I badly need some help. Can anyone hear this out?,5,112,Jun 3,tech-support-site-feedback
61,Ad revenue stalled entirely?,140,725,Jun 3,tech-support-site-feedback
62,Why is the uploader adding size to my files?,2,119,Jun 2,tech-support-site-feedback
63,Novel updated a few hours ago not appearing in FRESH tab,59,98,Jun 2,tech-support-site-feedback
64,Can’t comment / write wall posts,36,125,Jun 2,tech-support-site-feedback
65,Missing Page in Mature “Undercover Partners”,510,97,Jun 1,tech-support-site-feedback
66,Comics Feed Needs Tweaking,3,170,Jun 1,tech-support-site-feedback
67,Episode descriptions no longer on app,201,96,May 31,tech-support-site-feedback
68,My novel isn’t showing up both on the app and website whenever I search for it,3,95,May 28,tech-support-site-feedback
69,Feature Request: User Wall Likes,80,147,May 27,tech-support-site-feedback
70,Overlapping things and mismatched info about “free ink for read” in app,14,103,May 26,tech-support-site-feedback
71,Do you see my novel on the app?,1.2k,73,May 25,tech-support-site-feedback
72,"Help with summary link, please",0,99,May 24,tech-support-site-feedback
73,Downloading Episodes not Progressing,54,177,May 23,tech-support-site-feedback
74,Size guideline “No height limitation ?”,49,423,May 22,tech-support-site-feedback
75,Unable to see episode previews,456,100,May 19,tech-support-site-feedback
76,Paranormal/Supernatural Genre Addition,6,234,May 17,tech-support-site-feedback
77,Mature section is missing,104,112,May 17,tech-support-site-feedback
78,Not showing up under comedy tab when searching,0,175,May 17,tech-support-site-feedback
79,Tapas support is not responding to a ticket about transactions?,73,111,May 13,tech-support-site-feedback
80,Milestone Issues,23,138,May 11,tech-support-site-feedback
81,Changed description doesn’t show up in the /info link,372,60,May 11,tech-support-site-feedback
82,Haven’t received Ink,3,173,May 9,tech-support-site-feedback
83,Tapas blocked my whole series,120,460,May 9,tech-support-site-feedback
84,Why are the views data not synchronized simultaneously?,4,67,May 9,tech-support-site-feedback
85,Unable to remove Ads or Support?,67,104,May 8,tech-support-site-feedback
86,Chapters not marking as read,20,322,May 8,tech-support-site-feedback
87,Likes don’t match,563,78,May 8,tech-support-site-feedback
88,Why is there no SoundCloud support for the mobile app?,10,92,May 8,tech-support-site-feedback
89,Tapas Notifications set as “Alarms”?,102,167,May 8,tech-support-site-feedback
90,Files are compressing on me,2,178,May 7,tech-support-site-feedback
91,I don’t get the library system at all,84,165,May 7,tech-support-site-feedback
92,Unlink Facebook,7,169,May 7,tech-support-site-feedback
93,Ink Goal Limit or Bug?,106,85,May 5,tech-support-site-feedback
94,Something wrong with my milestones,0,165,May 5,tech-support-site-feedback
95,Fortune Cookie does not show up in the app,57,75,May 3,tech-support-site-feedback
96,Novel not showing up under Fresh (or anywhere),3,130,May 1,tech-support-site-feedback
97,Notifications not working correctly (both PC and mobile),290,46,May 1,tech-support-site-feedback
98,Comic is not shown,2,166,Apr 30,tech-support-site-feedback
99,Comic can not be found anymore in any category,93,189,Apr 28,tech-support-site-feedback
100,"Tapas app doesn’t open novel, after loading it close itself",1,86,Apr 27,tech-support-site-feedback
101,Issue with logging into account (iOS and PC),97,130,Apr 26,tech-support-site-feedback
102,I can’t log in Tapas through Tapas mail after I update the app. Anyone here help me 😭,0,87,Apr 26,tech-support-site-feedback
103,Unable to leave comments or replies,56,777,Apr 24,tech-support-site-feedback
104,Possible Hiatus Header?,0,204,Apr 22,tech-support-site-feedback
105,Reward Status missing,55,71,Apr 21,tech-support-site-feedback
106,Suggestion: share thumbnail for novels,18,79,Apr 20,tech-support-site-feedback
107,Issue after changing order of the episodes,217,82,Apr 19,tech-support-site-feedback
108,How do I get the Ink button?,1,142,Apr 18,tech-support-site-feedback
109,I never see my comic on the fresh new release pages,57,393,Apr 18,tech-support-site-feedback
110,Is there a problem with revenue transfers?,3,90,Apr 15,tech-support-site-feedback
111,My Dashboard Milestones are bugged,63,95,Apr 15,tech-support-site-feedback
112,Visual Bug: Comments section,4,126,Apr 15,tech-support-site-feedback
113,Invisible Comic - Doesn’t show up by new,86,132,Apr 15,tech-support-site-feedback
114,Feedback: Tab Indentation when Editing in the Text Editor,4,105,Apr 13,tech-support-site-feedback
115,"Today I got “2 free episodes of Drakkon gift” in Inbox, after claiming it, I got only one episode",90,71,Apr 12,tech-support-site-feedback
116,Anyone else not able to see Previews of their comic pages suddenly…?,9,63,Apr 11,tech-support-site-feedback
117,Am I supposed to see this?,159,238,Apr 9,tech-support-site-feedback
118,Private Lounge?,2,139,Apr 9,tech-support-site-feedback
119,Suggestion for a mobile site,105,121,Apr 9,tech-support-site-feedback
120,Blocking on forum?,8,142,Apr 8,tech-support-site-feedback
121,Reporting SPAM content,112,230,Apr 8,tech-support-site-feedback
122,How do I delete an episode that doesn’t Show on Dashboard?,48,92,Apr 5,tech-support-site-feedback
123,[APP] Add Setting > Double-Tap right side to go to next chapter,725,113,Apr 3,tech-support-site-feedback
124,Anyone noticing Likes and Comments disappearing from their comic,9,92,Apr 3,tech-support-site-feedback
125,Nevermind figured out why,119,90,Apr 2,tech-support-site-feedback
126,New Updates on Site,9,133,Apr 1,tech-support-site-feedback
127,Thank you so much for the dashboard update!,98,129,Apr 1,tech-support-site-feedback
128,Calendar Update Thank you,7,94,Mar 31,tech-support-site-feedback
129,Weird Unsub glitch,125,108,Mar 31,tech-support-site-feedback
130,Did not recieve free ink and customer service is not answering my emails,2,189,Mar 30,tech-support-site-feedback
131,Option to not send notifications for episode updates,97,99,Mar 30,tech-support-site-feedback
132,Bad Gateway seems to be taken care of,6,79,Mar 27,tech-support-site-feedback
133,Bad Gateway connection anyone else?,170,205,Mar 24,tech-support-site-feedback
134,Banner instead of book cover or thumbnail shows when i post my comic in the tapas forum:,7,76,Mar 23,tech-support-site-feedback
135,More total views than there actually is?,96,116,Mar 23,tech-support-site-feedback
136,"My link is showing my old banner, not my new one (Problem solved)",10,72,Mar 23,tech-support-site-feedback
137,NovelStar NovelStar NovelSpam,95,286,Mar 22,tech-support-site-feedback
138,Subscribed comics disappear from my library,7,766,Mar 22,tech-support-site-feedback
139,iPhone App Freezes on Home Page,147,65,Mar 22,tech-support-site-feedback
140,So… I’m getting spammed,1,244,Mar 21,tech-support-site-feedback
141,Errors in statistics - subscriptions and likes,103,118,Mar 20,tech-support-site-feedback
142,The LIKE button,1,222,Mar 19,tech-support-site-feedback
143,Tapas app opening by itself,73,125,Mar 19,tech-support-site-feedback
144,Can’t remove series banner,2,109,Mar 18,tech-support-site-feedback
145,Uh… I think I need halp,99,147,Mar 18,tech-support-site-feedback
146,Plagiarism Over on Wattpad?,8,227,Mar 16,tech-support-site-feedback
147,Genres and Variety,177,389,Mar 16,tech-support-site-feedback
148,Problem with Title,23,127,Mar 14,tech-support-site-feedback
149,Didn’t get the Ink I purchased after waiting for six days,423,112,Mar 13,tech-support-site-feedback
150,The use of Gif’s in the app is not the same as on web?,1,73,Mar 13,tech-support-site-feedback
151,Dashboard data?,100,82,Mar 13,tech-support-site-feedback
152,"Hey, I need some help with a problem i have on create my series",13,113,Mar 12,tech-support-site-feedback
153,Influx of Inappropriate Spam Comments,234,120,Mar 12,tech-support-site-feedback
154,Hey why can’t I log in with my original account to the forums?,2,133,Mar 12,tech-support-site-feedback
155,#0 in Tapas Best Collection,112,108,Mar 11,tech-support-site-feedback
156,“Oops!” Error occurring while scrolling pages,13,102,Mar 11,tech-support-site-feedback
157,Tapas not working on desktop?,175,125,Mar 8,tech-support-site-feedback
158,"Total view, like, comments counters issue",3,73,Mar 8,tech-support-site-feedback
159,Pop up Tapas error?,111,75,Mar 5,tech-support-site-feedback
160,I can see someone’s scheduled episodes… Is this a glitch?,2,257,Mar 4,tech-support-site-feedback
161,"Tapas down, what happened?",138,120,Mar 1,tech-support-site-feedback
162,Website freeze at loading comments,3,77,Mar 1,tech-support-site-feedback
163,PG-13 and 14A Ratings,60,175,Mar 1,tech-support-site-feedback
164,Tapas app don’t send notification when someone updates their series,6,104,Feb 28,tech-support-site-feedback
165,Date + timestamps for episodes list?,173,133,Feb 28,tech-support-site-feedback
166,I cannot adjust text size for my novel via mobile app,10,134,Feb 27,tech-support-site-feedback
167,Tapas Wall - Unable to post,460,88,Feb 27,tech-support-site-feedback
168,Subscriber count showing 0 on new dashboard,0,151,Feb 26,tech-support-site-feedback
169,Mobile App doesn’t open,67,75,Feb 26,tech-support-site-feedback
170,Dear Tapas Family–Women’s History Month Banner Question,2,316,Feb 25,tech-support-site-feedback
171,“Princess in the Rough” Free Episodes Retrieval Issue,104,153,Feb 25,tech-support-site-feedback
172,So I’ve just unlocked ad revenue. Now what?,8,332,Feb 25,tech-support-site-feedback
173,Can’t upload comic. Error wont go away,322,1.8k,Feb 24,tech-support-site-feedback
174,"I can’t upload a thumbnail for my new episode, is this a bug?",4,92,Feb 24,tech-support-site-feedback
175,Can’t use the center text option,78,129,Feb 24,tech-support-site-feedback
176,Is this perhaps a error?,1,158,Feb 23,tech-support-site-feedback
177,Why was my series marked “Mature”,92,295,Feb 23,tech-support-site-feedback
