,Topic Title,Category,Tags,Leading Post,Post Replies,Created
0,Tapastry Summer Updates 2021,Announcements,[],[],[],0
1,The Two Other Species (Novel),Announcements,[],"Hello everyone, My name is Genr not my real name, I'm a teenager, and this is my first time posting my stories to Tapas.I'd like to meet some new people here, and gather some perspective on my first novel. If you are interested in topics such as Demons or Guardian, Overpowered Character, Magical world,  a bit of romance, and some badass characters, you might just enjoy my story.
Here the description of my story: 7000 years ago, somewhere on the earth, an old man named Primus saw a meteor strike in a forested mountain. That meteor turns him into a demon.7000 years later, Azmaveth Dracul, a demon born to be a Slayer for the Demon Empire. One day he disguised himself as a human to enter a university to carry out his mission to investigate and eliminate the guardians in that area.In the world, there is something inexplicable; where did the meteor come from and why did Primus transform into a demon; in this world, not only humans or animals only live, there is something else? That’s what you’re going to find out.
Latest Chapter: Chapter 1Chapter 02 Coming on July 23, 2021, Friday, 2:30 A.M. PSTChapter 03 Coming on July 27, 2021, Tuesday, 2:30 A.M. PST

Book cover.jpg960x1440 623 KB



tapas.io



The Two Other Species | Tapas
7000 years ago, somewhere on the earth, an old man named Primus saw a meteor strike in a forested mountain. That meteor turns him into a demon.

7000 years later, Azmaveth Dracul, a demon born to be a Slayer for the Demon Empire. One day he...





",[],0
2,"“Lanche”, a textless comic [one-shot]",Announcements,[],"Hey there! 
DAKÍCORP's comics have been brought to Tapas for a while now, but most of them (if not all) are in brazilian portuguese.
Recently Café Espacial lauched a contest for their new printed issue and the theme was Comics without words (5 pages max per story). My wife and I always wanted to create something together since the beginning of our relationship, so we saw this as a nice opportunity to experiment. She handled the writing and I was responsible for the drawings. Lanche didn't make it to the selected ones, but we really enjoyed working together in this. It's a really quick read, so if you're interested it is already available on Tapas.
""Lanche"", a textless comic by Marina de Carvalho & Marcelo Dakí2

00.png940x1326 526 KB
",[],0
3,Moon Violations Unit - Episode 1 complete,Announcements,[],"Huge story ahead. Comments/Subs very welcome.
MVU - Episode 0124","['What a great and refreshing new comic. (in retro style)  It feels like a real story with a well-written script. \nThis one is a must-follow. \nI hope that there will be a market for this kind of comics again to set the villain bl drama queen manga aside. This is my jam and I hope there will be others with that taste.', '@ratique this is the stuff that I expect to be on the Tapastry frontpage. We can’t compete with the manga drama. But stuff like this needs a place too. And not just a re-tweet, will there be a place for us free to read creators in this quality? Is this what Tapastry will be? A collection of fine content for people to discover? (without scrolling pass 1000 of super studio polished manga drama)', ""Thanks very much for the post jensrichard77. This is a story long planned out in my head and on notepads that I recently crash-coursed some comic illustration courses to get out there. Yes, the Manga content is great but also very well catered for, tbh I wasn't, and am still not convinced Tapas and other sites are the right landing ground for my work but I'll give it a go.""]",7/11/2021 12:14
4,"Introducing Lauren, Community Marketing Intern",Announcements,[],Welcome Lauren! ,"['Hi Lauren, welcome~ ', 'Oh dang! Welcome, Lauren!', 'Welcome to tapas, Lauren! ', 'Sup Lauren. enjoy the fourms and welcome', ""Welcome, Lauren! Community marketing sounds like an exciting title.  Can't wait to see what you have in mind!"", 'How exciting! Welcome, Lauren! ', 'Hello!!! Welcome, Lauren!', 'Can’t wait to have you in the community! Welcome!', 'Hi, Lauren! Welcome. ', 'Welcome, Lauren! I hope you have a good experience! ', 'Welcome to the forums!\n', 'Live from the train station in Sweden\nwelcome @lauren685\n\n\nAEA6E5E2-02F1-4D4E-8178-E814B3B0441A.jpeg1970x1484 760 KB\n', ""personal question but don't be offended:If this was your actual picture, why does your eyes' color not match your forum avatar pic's eyes' color?"", ""Oh that's just @nathanKmcwilliams' art style being in play for the picture most likely"", 'Hi, welcome Lauren! Happy to have you here!', ""\n\nSurvivALIST:\nwhy does your eyes' color not match your forum avatar pic's eyes' color?\nYou do have an eye for details (lol) and perhaps my avatar could be updated at some point to match. IDK? It's just how Nathan pictures me. \nAnd yes, that's me! And here I thought that everyone knows how I look???\nOh well, that's the thing about fame, it passes quickly...\nAnyway! Back to topic! How are you @lauren685"", ""Yep I'm very new. You wouldn't even see my name here Introductions  because I missed my timing. \n\n\njensrichard77:\nOh well, that's the thing about fame, it passes quickly...\nOh that's true. One wouldn't even know if Tapas will still exist in the future [or still be in fame].""]",6/22/2021 19:44
5,✨⁠ Tapas Milestone Assets for Creators ✨⁠,Announcements,[],Just need 4k more...,"['this is cool thanks! the milestone are editable', 'Oh, I love these! Thank you for the assets. ', ""Oooh, they're lovely, thank you for these "", ""Man, it's to bad I went through my 1st Anniversary already XD. These look great though "", 'gonna have to edit em for year seven but these are nice ', 'I like that the files are editable :3\n\nSubs-Ice-[Tapastry].png1308x561 191 KB\n', ""So cool! Can't wait using them on my promo images. Thanks!""]",5/26/2021 13:54
6,Tapas Media & Kakao Entertainment,Announcements,[],"

ratique:
Kakao Entertainment’s investment will allow us to expand our support of up and coming artists and storytellers that can be found within our community.

4EFC84B2-7946-4E0E-A576-8C554AE86AD5.png940x1000 76.8 KB
","['I\'m going to drink kakao (I\'m from Slovakia, and ""kakao"" is cacao (cocoa?) in Slovak lang), and read more comics... btw. will this mean, we will get more stories and cheaper?', 'Oh, I got a good one, let me writte it before someone else does!\n\n""Dear Creator, as I write this, I am very sad. Our Tapas has been overthrown and...\n...replaced, by the benevolent Kakao Entertainment. All hail Kakao, and his glorious regime. Sincerly... little girl.""\n\nSorry, please don\'t delete me =D', ""Words and statements are fun and all, but let's have Tapas' future actions speak for themselves. Too early to tell what effect the acquisition will have rn."", '\n\nratique:\nAre you only going to showcase premium series on the front page now?As the Head of the Community department I don’t shy away from the fact that our independent series don’t receive much exposure as needed currently. However, I’m excited to inform you that we didn’t create the Tapastry brand just to be cute and have an Instagram account (although I love it very much. @tapastry_TCC, follow it! ;D). You can expect to see more changes on our app and website that will bring more visibility to talented independent creators. This has been in the works for many months and I can’t wait to share more with you in the future!!\nI\'m happy to see the current issues with visibility for independent series being acknowledged by the staff, since it\'s an area I\'ve known to be... let\'s say ""passionately vocal"" about (some would, I\'m sure, say ""obnoxious""). I\'m optimistic for some positive changes in the hopefully near future. I\'m hoping that the cash injection from this deal as well as the fivefold increase in revenue will allow Tapas to invest in original works in the hopes of growing future breakout series and diversifying the audience.', ""Is this going to effect Tapas' current stance on mature content? "", 'Thanks for letting me know!\nFunnily enough, I actually consider Tapas to be the more flexible of the English speaking comic apps, which is why I asked the question in the first place. \nThe new mature tag filter has been awesome btw!', '""No, no we\'re not selling Tapas and we have no plans to"" (after the site was suddenly and very shoddily redesigned with no communication whatsoever).\n""No, that article is pure speculation!"" (after the rumor about Kakao in the other thread).\nWhat\'s up with the blatant lies? Well, now the cats out of the bag and once again Tapas looks like a fool.', ""\n\nratique:\nAre you going to make any changes to Tapas’ publishing guidelines and rules?No. As an independent creator you continue to own your series, images, IP and so on. Tapas will never claim ownership over your series, so feel free to continue publishing without worry.\nThis is good to see reiterated, thank you.  As an author with a series that's part of a very expansive extended universe, one which I've worked on for a decade and hope to make my bread and butter for the rest of my life, the mere whiff of IP issues sends a chill down my spine.\nAlso, fingers crossed for more love going to the indie creators on the app and website! I'm excited to hear what you have planned."", ""I actually find this to be both a good opportunity and interesting direction for Tapas. Over the last month or so there has been so much positive news between the new websites designs and also how some of the original stories are now getting opportunities to become other media pieces like published books and a tv show. Then there was the creation of Tapastry as well. \nFrom a writer's perspective looking that its Kakao Entertainment I can think of all of the possibilities opened for creators both Comic artists and novelist when it comes to getting their original work out there. Whether its through publishing, video games, animes, and other media outlets. I'm looking forward to seeing how things progress from here and what new opportunities open up for the community. \nI would like to thank the staff from Tapas who continues to work tirelessly in maintaining the forums and the website as a whole. I hope that the community and original content continue to grow from these many opportunities that could be presented."", ""If were being completely optimistic then yeah this would mean more opportunities for more creators. But as far as I can tell at least at this point in my opinion it would be the same types of stories that are getting promoted now, getting promoted.\nEven if there's a new staff pick style thing the method to choosing what and who to promote is probably still same and it leaves a lot to be desired.\nAnyway. I have a couple questions.\n@ratique \n• From what you can say and are aware of what types of changes/improvements will be made to the support system?\nAn example of what I mean is accessibility to ink. Methods to encourage support.\n• Will there be improvements/new methods of monetization?\nI personally think the Ad revenue set up could use a touch up.\n• Are there any plans to improve site wide engagements?\n• Will there be larger focus on searching for content and creators to make the move to premium?\nI ask this because I've been checking out Webtoons lately and noticed that comparativewise while I acknowledge that Webtoons is a larger site/has a larger budget, the number of canvas to originals is much larger than non premium to premium.\nBy this I mean series that move over to Originals.\nIt feels like the premium upgrade is now a rarity.\n• This one is probably off topic but is the idea behind Tapastry to separate Tapas Originals and Premium from the regular self published stuff. Similar to Webtoon canvas and Webtoon originals?\nI feel like I may have read the answer somewhere but I forgot."", ""Honestly, I really dislike this. Tapas was a shining beacon for independent web entertainment, and in one fell swoop it's become just another piece of some massive conglomerate. Now the media conglomerates control almost all of the entire web comics industry, and I can't think this will be good in the long run. \nRadish and Tapas are now owned by the same company, so what does this mean for Tapas's novel section? The sites have very different types of stories, but I can't imagine they will stay separated for very long.\nThis is just my overall pessimism about lumbering major corporations, though. Maybe Tapas will come out even better for this!  But it does break my heart a little bit every time an independent company is absorbed by a much bigger one."", ""I never said Tapas wasn't doing any of this stuff or wasn't working on this stuff. I specifically asked in the confines of this investment. It's like if you plan on buying a new car but now you have a bigger budget. Are you getting one with heated seats, ect.\nBut I will say Tapas team could be working on whatever, whenever but there's really no way for me to be aware of that fact beforehand. All I know is what's on my side of the fence.  I completely understand not being able to give a clear cut answer and I wasn't expecting one.\nFor further clarification I can only ask and base stuff on what I've observed if there's an issue repeatedly being brought up for example and the Tapas team is working on it. \nThe non team side either has to wait until whatever the fix/improvement is ready or if the Tapas team provides some information. Otherwise we'd never know if something's being done. \nAnyways thanks for taking the time to respond I always appreciate it. This was very informative for me for a number of reasons."", ""Cool that both Tapas and Kakao have nearly the same color scheme.\n(I know I'm making a point that has no value, but I just noticed it.)""]",5/11/2021 11:25
7,A Tapas tutorial on how to share some love,Announcements,[],"OMG thank you @TapasCommunityTeamhttps://www.instagram.com/p/COjCAbNl2Kh/19

E385F40F-697A-4FFD-8E49-005B7DA22C6F.jpeg449x798 54.9 KB

Edit: changed the header.Edit; New link, to the right post on Tapastry's profile and not mine. Sorry about tha, new to Insta","[""That's amazing! congraaaaaats Jens!!!!!!!!!"", 'Thank you, it looks so good, and it is also a great thing for all of us to share.To tell the Tapastry readers about ink and support. Please share to spread the word about Tapastry in general.Also, just changed the link, first link was to the post at my profile, and it should be the post at Tapastry profile.Sorry about that.', 'congratulations Jens ', 'Thank you Puck, I hope that this will help us all to make awareness of Tapasty and all of our series.']",5/7/2021 8:55
8,"📢 Tapas Stickers on Instagram, Twitter, and TikTok! 🌟 Ink Giveaway 🌟",Announcements,[],[],[],0
9,"Introducing Tapastry, the Tapas Creator Community 🆕",Announcements,[],"I followed it on Instagram! 
Is there an Instagram tag?
https://www.instagram.com/cynk_napp/9","['A question! Is this for just general tapas creators? Like anyone who isnt premium or original (or early access, etc) is now under Tapastry, or is it something else?', ""Um, I'm not really sure what this is,Is it a rebranding? A new feature? A socia media news letter?"", ""I'm also a bit confused as to what this is "", ""I don't understand what this is, the article doesn't explain anything! XD\nLove the wordplay though!!"", 'Yeah, I thought they were already sending me all the news......', 'Good to know I was never part of this community until now.', ""Ok, so we've got a name and a mascot. For....what?"", 'I want to be excited but am confusion.', '', ""Like I said I can't wait to see what else comes. Everything so far has been great and its awesome to see the support. It will just keep growing from here! ^_^"", ""\n\nvictoria1:\ntapastrytcc\nThank you for the clarification. I do have a question though, while helping creators get seen is awesome, will this new branding focus on your featured artists or more on the small unknown creators, cause other platforms are doing something similar to support the 'creators' but the overwhelming majority of the posts/spotlight/mentions are for original/featured creators who are already front lining the site, and have large audiences build in with their webcomic."", ""\n\nratique:\nWe are using it to build a social media presence focused around creators and our interests, and to help boost our community series.\nWill the channels for announcing competitions and news aimed at creators be the same ones used for promoting community-created content? I'm just concerned that if that were the case, the community content would be promoted to a relatively small audience comprised only of other creators, limiting our ability to grow. The audience of readers on Tapas is so much bigger than the audience of readers who are also creators, and it's a much harder audience for many of us to reach. It would be good to know if there had been some consideration of this.\nI do appreciate this move towards promotion of home-grown content, particularly with the heavy recent focus on translated complete comics on the site and social media, and I hope that it might help combat the sub gain stagnation many of us have experienced over the past several months since the changes to the site layout and algorithms."", 'Is this building social media presence for TAPAS itself or for its creators? It seems like tapas is already very present as a whole and needs to be focusing more on featuring more artists!', '\n\nratique:\nThere will be future changes and additional features on our site and app surrounding Tapastry, which will be announced when the time comes!\nNow this....this I find interesting. I actually wouldn’t mind more support for creators on tablets cause all my work is on my iPad and having less working around the system to get to upload tools would be nice.\nOr like, more ways to promote other than hoping for a miracle or wading in the forums.']",1/12/2021 13:35
