,Topic Title,Category,Tags,Leading Post,Post Replies,Created
0,About the Answered category,Answered,[],An archive for answered topics.,"[""Oooh, that's a nice thing to do! Let's hope people use it! : )""]",4/5/2016 1:10
1,"Webtoons View counter, BROKEN?",Answered,[],"I just updated my main comic as I always do on Saturdays, and I saw that in the Spanish version of the Webtoons site, my comic went from 2.4K views, to 3.1K views in 5 hours!
And the English Version on Webtoons also went from 1.9K to 2.1K within the same span!
I was surprised for seeing such a rapid increase on views, and subscribers too. I had something around 101 and now I'm at 117!
But then I updated my secondary comic (I have a more chaotic schedule on this one), and went from 202 views to 353 in less than 15 minutes.
I label it as Mature, so I expect it to have less views, and it seems suspicious that both comics went up on views like that.
Looking for answers on twitter I saw other creators posting how since yesterday their comic views and subs rocketed too, but no other comment on why.
Is anyone else experiencing this? Am I missing something? Is someone reloading the site multiple times or using bots or something?","['That\'s because of Webtoon event, which rewards readers with free coins for reading 10 episodes of a comic. You\'ve updated, and it landed you in on top on ""sort by date"" section, which meant people coming to get coins saw your comic. \nAs for why the second one didn\'t get a sharp increase: you may have updated it later in the day, when most active readers got their coins for the day already or/and the genre of the second comic either more competitive with creators or less popular with readers.', 'It all makes sense now! although LMAO, I guess  I have to stay tuned with these events.\nThanks!', ""Yeah the hashtag for the event is #canvashiddengems so go and use it to promote because it's been a nice boost.""]",7/31/2021 22:56
2,Can you use Cintiq only + mini PC without additional monitor?,Answered,[],"That basically the question. I’m thinking to get a mini PC more powerful than my old laptop. I don’t need an extra monitor, so is it possible to have the Cintiq serves as main monitor?","[""I used my cintiq as my only monitor for my regular PC for years before getting a second monitor, so I expect it'll be fine."", 'Thanks!! That’s everything I need to know!']",7/23/2021 23:34
3,Comic artists with experience hiring an editor or writer,Answered,[],"Hi guys, first time posting here...honestly kind of nervous. Anyway, I have a script and general outline of my comic. I'm not the best writer, even writing a resume will take me 10 tries. English is not my native tongue although I have used English for a long time. That being said I am not the best writer in my native langue either.
For artists who hired a writer for things like dialogue or other comic-related things, what is your experience? And do you personally think it has increased the reading experience of your comics? I'm just not sure about my situation, should I hire a writer or an editor. I have a limited budget so I want to know what would be the most suitable choice for me.
Any suggestions or personal experience/thoughts would be great  
thank you ","[""I haven't hired outside help, though I can give some food for thought.\nYour English here is clear and comprehensible enough, so you could get away with an editor who has solid grammar to just tidy things up here and there. That being said...\n...a big part of what makes a comic really engaging, for me at least, is the believability of the dialogue between characters. Does it sound natural? Does it flow well? Does the personality of each character shine through in the way they speak?\nIf you're pretty confident with your ability to write down a conversation, you likely don't need a writer. If you can read back what you've written out loud, and it reflects your characters well, you're on the right track there. An editor can simply help you tidy up any mistakes.\nBut if you're not sure you can write a natural sounding conversation, this is where a writer comes in. You can give a writer a rundown of what the conversation needs to include, and the personalities of the characters involved, and a writer can turn that into engaging dialogue.\nIf you're unsure, have a read of other comics which have good dialogue in them, and read some conversations out loud. Then, read your script out loud. Compare the two. If your script sounds pretty good, and there are just a few clunky bits and spelling/grammar errors, an editor is likely all you need. But if the characters sound unnatural, and the conversation between them doesn't sound much like how people actually speak, you'll want it re-written."", ""Thank you, that is really some insightful feedback. I really want this comic to work out, but I'm worried the dialogue is shallow and frankly...not interesting to read"", 'I have a friend who helped me with the proofreading starting from chapter 20 or so and who is now helping me fix grammar mistakes in the first chapters as well. Can\'t really say much about hiring a writer, since I tend to prefer writing my own stories, but so far my proofreader has been helping me immensely <3 having a second pair of eyes to look at your work when you\'re not feeling 100% confident about it and/or someone who can confirm whether or not a certain sentence sounds good in English is definitely helpful. My proofreader\'s questions and insights have also been an amazing source of inspiration in some cases!  That said, it\'s also true that you should always keep in mind that the story you\'re writing is yours and that, as much as the help of a proofreader/editor can be valuable, nobody is going to know your story better than you, so if there\'s a suggestion you don\'t feel would be right for your story, you shouldn\'t feel forced to use it no matter what. \nOne notable example with my current proofreader would be with a chapter I was writing: they found the cliffhanger at the end not satisfying enough and, had it been up to them, they\'d probably have told me to edit it so that the ""good"" and the ""bad"" guys would fight instead. Problem is... at that point, the story was only halfway through and putting a fight there would have just brought things to a climax despite the fact that half of the main cast had yet to meet. Eventually, when my reader got to see the chapters that came after, they agreed that a fight at that point would have been premature and would have made the story too rushed. In short: listen to all suggestions, take notes, but don\'t be afraid to say no when necessary ^_^', ""From my experience, I can only recommend you to get more eyes on your project. Having someone to do the typos and grammar is in many cases a must. Even if you feel you have it all covered, you as the creator can easily become blind to small mistakes because you know your story and dialogues so well.\nHaving others to read your story and give honest feedback is also a treat. There are from time to time people offering reviews and other help here at the forum you can look out for. \nBut having a dedicated creator to help me out as I create is one of the best thing that I have experienced. Both paid and non-paid. \nAnd right now I have a little service that I offer here:\n\n\nFree dialog writer to improve your comic/script Reviews | Feedback\n\n\n    Hello! Jens Richard here, I'm about to go full business pro and will take commissions at some point, but for that, I need to practice my writing skills by offering free help for your dialog. \n\nFirst I will make it clear that this isn't proofreading or editing, but a simple adjustment to the dialog you already have, just to make it even better, more clear, or more funnier for the reader.  \n\nI will not run over your entire story, but I will give you some good examples where I find something that c…\n  \n\n"", 'Thank you for the input  I felt as much too. I think feedback and constructive criticism is very beneficial for emerging writers/comic artists. Did your readers notice the sudden change in dialogue after chapter 20? Was the change noticeable in a positive way?', 'Thank you!! I will take a look. Plenty thanks to the reply as well. Has your creators changed your plots for the better? For example you were favoring one idea but they ultimately talked you out of it because it wasn\'t suitable for the characters etc? I\'ve heard ""kill your darlings"" when it comes to writing~ So I thought I\'d ask.', 'Indeed they had. One of my stories was unintentional too dark and was more for the horror genre than fantasy. I quickly changed the tone, because that was not my goal and I didn’t see my story as horror. \nOther stuff that had helped me was me not give the proper characters proper care for the readers. They have to care for them to be able to follow them. \nRemember, characters come first then you place them in a world with a plot.', ""No noticeable changes to report  the work of an editor mostly consists of correcting typos, grammar mistakes and/or suggesting phrases that might have a better flow, and my proofreader does pretty much the same, so the writing is still mine! So far, there were just a couple of instances where my editor came up with a whole sentence to replace mine (again, mostly to fix the flow/grammar, not the overall meaning of the phrase): in those cases, I gave 'em credit for the help (I mean, I always do, but with those chapters I made sure to specify which parts of the dialogue my proofreader helped me fix in particular).""]",7/20/2021 5:04
4,Artist needed for a book cover (paid) - FINISHED,Answered,[],"Hi ^^ Name's Arterberry and I am looking for someone who is willing to make me a book cover. Of course, it'll be a paid job and I can give you more details if needed. I am actually taking part in a competition and need someone urgently. If you are interested, I would love to see some of your art/portfolio. 
JUST WANTED TO SAY THAT I FOUND AN ILLUSTRATOR. THANK YOU EVERYONE.","[""Hi, I'm interested! You can see my base rates and samples of my work here:\n\n\nko-fi.com1\n\n\n\nBuy VibrantFox - Requests OPEN a Coffee. ko-fi.com/vibrantfox\nBecome a supporter of VibrantFox - Requests OPEN today! ❤️ Ko-fi lets you support the creators you love with no fees on donations.\n\n\n\n\n\n\n\nvibrantfoxart.tumblr.com\n\n\n\nin a world of pure imagination\nVi | she/they | Lv25 | black | illustrator + webcomic artist\n\n\n\n\n\nhttps://twitter.com/vibrantfoxart2"", ""Thank you for your quick response VibrantFox. Your art is very cute but I don't think it will fit with my novel. I'm looking for something a little bit different. I am really sorry!"", 'No worries thanks for your interest ^^', ""Hi! Here's my da: https://www.deviantart.com/sorible3"", ""I was just on my DA as well and followed you over there ^^ But your art is too cute as well. I'm really sorry."", 'Ahaha thank you anyway! ', 'Hello ararterberry!\nI have been working with drawings and paintings since 2012 and digital drawings since 2018.Unfortunately, due to a lot of different reasons, my portfolio is kinda out-of-date (I have been reconstructing it over the last weeks).\nBut my Instagram has lots of different pieces I\'ve been working on for the last months. Maybe it is of your interest (I read the previous responses and for one I know that my vibe isn\'t cute). I\'m there as ""dakicorp.exp3"".', ""Hi, I just finished this comission and I'm free again.You seem to be looking for a specific type of aesthetic, you could give examples or what you are looking for so that we-artists- do not respond in a massive way without generating interest on you (that's the way those who do what you want respond ).This is the cover I have done for my last client's novel. It took two days to do both, I put it to show you my style.\nIlustración64 (14).png768x1152 305 KB\n\n\nIlustración64.png614x921 949 KB\nAnother examples \nIMG_20210307_192904_199.jpg1200x1500 290 KB\n\nIMG_20210623_010824_900.jpg1440x1754 249 KB\n\nIMG_20210324_022030_236.jpg1440x1657 410 KB\n\nIMG_20210704_004450_442.jpg1600x2000 427 KB\n"", 'Do you have any digital art/drawing that I can have a look at?', ""Yes, I am looking for something specific and sorry that I wasn't detailed enough. Your art is very pretty, but yes I'm looking for more of a manga/anime style. Thank you for your interest "", 'Sure!\nHere\'s a WIP version of the ""Lofi Hip Hop Girl"":\n\nlofi 3.png1600x1600 775 KB\n\nThis one is a cover for a zine I have been making since the beginning of 2020:\n\n00a CAPA.png601x806 756 KB\n\nThese are some pages for a graphic novel I created in 2019:\n\n11.png666x1000 319 KB\n\nThese are comic-related. Just a sec and I\'ll bring some others in more experimental tones', 'Hello there! I have open commissions. You can check my Terms of Use and info here: https://bit.ly/Commission-Info-RedLenai1\nHere are some examples of my Sketch StyleMain $20, Extra character $10, Background $10\nHue and Bane.png700x700 271 KB\n\nChoko.png700x700 624 KB\n\nLadyRose and Bea-Chan - S.png680x680 589 KB\n\nRed Panda - S.png864x1080 964 KB\n.... Here is Cel Shaded styleMain costs $40, Extra character $25, Background $25\nDeidre Promo.png480x800 533 KB\n\nDTiYS - S.png680x833 568 KB\n\nCommission for bjwebb - Smaller.png680x833 754 KB\n\nCallis.png720x900 625 KB\n', ""It looks really good but I am sorry, it's not what I am looking for. But thank you for your interest "", 'You seem like a very talented person, but I am sorry. I am looking for something specific. But still thank you ', ""This is one from a series of 60 illustrated podcasts episodes:\n\n57 regras do jogo 66.png960x528 780 KB\n\nThis one is from a zine, made with photographs mash-up with fragments from digital drawings:\n\n08.png780x974 442 KB\n\nAnd this is a page from an essay on Serial Experiments Lain (it was published some months ago, I brought it to Tapas but unfortunately didn't have the time to translate it to english so far):\n\nLAYER 13a.png609x862 656 KB\n"", 'Thanks for the interaction anyway. This was my first time attempting to get a freelance gig on illustration, and the rush was awesome hahaha', ""I'm really sorry about it, but I do really like your art "", 'Thank you! I hope you find the perfect match for your book!', ""I think it would be fair for everyone if you'd provided some examples of what you have in mind, maybe to circle things around a little easier and have something more according to what you trully want""]",7/18/2021 18:32
5,Post is closed due to some format changes,Answered,[],"Would highly recommend including what said project is instead of saying ""unique plot""","['What kind of stories are you looking for specifically?', 'I feel like you\'re asking too much and offering too little in exchange. You ask for mandatory attendance, you ask to alert the Owners. But you don\'t want to pay.\n""if we happen to start making some income then we will surely pay each of our team members with an appropriate amount that is deemed fit.""\nThis sounds, and excuse the contemporary lingo, sus.\nYou ask for professionalism, but you aren\'t willing to pay for it.', 'This sounds like an unpaid internship XDSeems to me that the best someone can get out of this long term is the feedback on how to improve their art; with that in mind, could I see some samples of your work?', 'We will work on that issue and write a better post. Thank you for your insight!', ""Any kind as long as it doesn't consist of any form of NSFW content : )Thank you!"", 'We have read about your issue and are currently working on a method to resolve it. We are grateful for your input as it helps make us better at what we do. We aspire to mainly help artists and writers gain a chance at showcasing their work which is the main origin of this team.Thank You!', 'We are grateful for your input. We shall take it into consideration and make amends. Please do look out for a newer post which will soon be released today!Thank You!', 'Bots sure are getting smart', 'I can assure you that we are not bots. The team really exists, so stay tuned as we will soon post a proper recruiting post later on today! Thank you taking your time to read this. We hope you have a nice day : )FreaksComics', 'Do you want to fix the issue? Cool, easy solve, pay whoever you want to hire. Because if you have Co-Owners and you demand professional behavior, then you should pay for it.']",7/16/2021 13:14
6,Cover is correct?,Answered,[],"Is this just a bug or is the site literally picking a fight with me? The title is on the book cover. This had better just be a ""don't  forget to do this!"" notice and not a ""LOL YOU HAVE NO TITLE"". I have a title. It's right where I want it. It's the font and size I want. And I'm not going to bug the artist to change it.

image.png814x455 178 KB
","[""I don't think they are singling you out, I think it is a general reminder"", ""I hope it's a reminder but I also remember seeing notices about how if your cover was wrong then you couldn't be searchable or something after the change. But I thought that was just the change from the square format to book portrait format."", 'Pretty sure it is just a reminder. It has been there for me even after putting in the cover.', '\nScreen Shot 2021-07-11 at 8.59.36 PM.png712x387 101 KB\nHere is proof.\n\nScreen Shot 2021-07-11 at 9.01.18 PM.png892x355 279 KB\nThis is done because the old method of displaying the stories was just icons with the name under it. While the cover update gave you the ability to add a more stylized title but that subtitle is not present.', 'Maybe the font is too soft and the system thinks it is just part of the art.', 'That’s just a little reminder', ""Echoing everyone else! It's a reminder, it's there for everyone."", ""Nah bro that's just a reminder. But hey great artwork, imma have to check out your work based on that alone!"", '@sarimopi made my cover!', ""It's just a reminder. Even if the whole cover is text, it'll tell you to include text. The old way of covers/thumbnails had Tapas include the title below the thumbnail, they have the creator include their title in the image now.""]",7/11/2021 19:57
7,Is it possible to delete topics?,Answered,[],"I've made topics that are no longer getting viewed or responded to, and I want to delete them. Is it possible?","[""There's no real way for you to delete them, but what you can do is message or tag one of the forum moderators and ask them to lock and unlist your topics."", 'I think you have to use the little ""..."" emblem to flag them, and one of the options should give you the ability to write a note requesting that it be deleted.', '\n\nBAFr:\ntopics that are no longer getting viewed or responded to\nFunny thing... I still get the occasional Like & Retweet of tweets I posted 2, 3 or more years ago.  You never know.']",7/6/2021 18:25
8,This forum is kinda weird,Answered,[],"I've made Topics that lets you promote, and Idk if everyone can see new topics but it's hardly ever viewed, and then I see some other peoples promotional topics and they've got like 1,000's of responses???","[""that's not this forum, friend, that's the internet in general. There's technically a method to the madness, but it's so complex and obtuse that there's always an element of gambling. Some stuff just gets noticed and takes off, other stuff gets ignored and thrown by the way side, and it seems like there's no rhyme or reason to it. That's how basically every platform goes, algorithm or no.Just gotta keep laying your chips on the table and placing the bet until it pays off."", 'This site is a ""forum"" you should know since you got here the same way i did. you literally go into the tapas site, click on ""Discover"" and finally click on ""Forums""\nNote: see how it says ""Forums""?', ""You think that's weird?You have to see from this standpoint that you're not the only person making promo threads here.If you made a promo thread for something specific, which most users don't have, it's normal that you get drowned.It would explain why you don't get much attraction with them."", 'I am well aware of what you meant, my point was that this forum operates no differently than any other place on the internet where all content, good or bad, can get passed up or go viral seemingly at random. Everywhere on the internet has this issue, not just here.', ""I understand that; I'm just contemplating how some promotional topics are more famous than others and how this forum works in general. Like, are the most viewed topics famous because the person who posted it is well known? Or stuff like that."", ""I see. I'm new to this site so I'm just trying to understand it a little bit better, so that maybe I can promote better and stuff like that."", ""Nah, pal. Look, I show you an example.\nLet's say some user makes a thread for people below 100 subs.Of course, this one gets a lot of people.(Sub4Sub too, but I'm not sure if it can continue when all users are subscribed to each other.)It doesn't depend if a user is well known. It's just what is more beneficial for one.Hope that explains this. "", ""So basically, If I want my topic to be more viewed, it should relate to a lot of other people, and hasn't been made yet?"", ""Like I said in my first post; there's technically a method to the madness, but it's so complex and obtuse that it might as well be random. You can do some things that can affect your odds, but a lot of it is still left up to right-place-right-time. There's a balance to strike between having something accessible with a broad appeal that lots of people are going to like, and something niche and unique that doesn't look like everything else out there.\nFor example: 'promote your stuff here' is no different from any other promo post on this forum, so why would anyone click on it instead of any of the others? On the other hand something like 'Tokusatsu (small niche genre of Japanese television. Think Power Rangers or Ultraman) creators share your comic here!' is so small and niche that basically nobody is going to fit the bill and want to engage with that post.So something in the middle; the 'post your latest page' thread is a great example of this. It's something that everyone can do, no matter what type of comic they're making or what sort of skill level they have, but it lets each person post something unique. People are going to want to click on it to see what everyone's most recent art looks like, and they're more likely to want to engage with it.\nEven then, there's an element of randomness; if you post it at the wrong time of day when not many people are on, then it's off the front page before people who would have engaged with your post are looking, and they usually don't go digging through stuff that's too far off the front page. If you don't happen to get any good artists sharing their stuff then it'll look like amateur hour and nobody really cares. Alternatively, if you ONLY get really skilled artists posting, then less-experienced creators might get intimidated and not feel comfortable sharing their stuff.All of those things are, to some degree or another, entirely out of your control. Sometimes it works, sometimes it doesn't, which is why I said you just have to keep placing your bet until it pays off."", 'Alright, thanks for explaining!', ""You could do that.\nIf I may suggest, you could do a promo thread that asks for more creativity than just link dropping.Like, making a thread to promote like a door-to-door salesperson, perhaps?Of course, what you do is your business, but I can dig it more if I have to work for the promotion.\nJust don't get frustrated when nobody answers your thread. Here are a lot of users living in different time zones. Give it some time and somebody will answer."", 'Thank you for your response, I understand now!', ""Honestly in my opinion, promotions on the forums don't do too much to my numbers which is why I stopped after a couple few posts. It might even create more dead subs since so many people are trying to promote here and do sub 4 sub, which can make your comic/novel become even harder to find. and sure, having a popular comic/novel is great and all, but it's also interesting to see how well I can do naturally without pushing it into people's faces.\nA lot of people on the forums aren't looking to read topics that are self promotion, personally if I see any promotional threads, I'll just ignore it unless it's included with an interesting topic/question."", 'I\'ll be honest here. If you are just on the forums JUST to promote. You will not have a good time and would not last.\nAlthough self promotion does occasionally give you engagement, this is more a place to make connections and get writing and art advise, and ask for comics and novels to read kinda place. Really when all a persons posts are just;""HEY check out my comic"". eventually these people get ignored and I\'ll be honest I get 100% turned off from checking out their work.\nReally self promotion although happens alot here, rarely gets the engagement you will expect it does. Things like posting example art when a topic specifically asks for it can work. Read for reads also help gain readership. Although I have seen folks just link dump and go ""hey check me out"" and not bother read the other stuff on the thread. (a quick way to not make people engage with you again). Hey if you build a relationship with some people here you can eventually form a collab that can increase views and provide a good time.']",7/6/2021 17:53
9,Can I change the cover or thumbnail of my story once I create it?,Answered,[],This thing has been on my mind recently. Once I am on the tapas' dashboard and I already create the story and selected a cover. Can it be changed later?,"['Yes it can be changed any amount of times you want to.', 'Oh, thanks  you just saved me']",7/6/2021 15:17
