,titles,replies,views,activity,category
0,"About the Answered category
An archive for answered topics.",1,841,4d,answered
1,"Webtoons View counter, BROKEN?",841,63,11d,answered
2,Can you use Cintiq only + mini PC without additional monitor?,3,66,14d,answered
3,Comic artists with experience hiring an editor or writer,63,198,17d,answered
4,Artist needed for a book cover (paid) - FINISHED,2,131,18d,answered
5,Post is closed due to some format changes,66,197,23d,answered
6,Cover is correct?,9,141,29d,answered
7,Is it possible to delete topics?,198,80,29d,answered
8,This forum is kinda weird,19,237,29d,answered
9,Can I change the cover or thumbnail of my story once I create it?,131,57,Jul 1,answered
10,Is there a way to find your own Reading History?,11,934,Jun 29,answered
11,Hi I’m new to Tapas,197,84,Jun 22,answered
12,"My account milestone was reset, support button is also missing",12,116,Jun 12,answered
13,Custom ad banner?,141,85,Jun 9,answered
14,Comic using screenshots from the Sims 4? (resolved),3,111,Jun 7,answered
15,How Do I Unpublish or Delete Published Chapters?,80,97,Jun 5,answered
16,Explain a vine for me,14,127,Jun 2,answered
17,"If I edit an episode, will the likes & comments on it stay or will they be deleted?",237,94,May 29,answered
18,Edit: the issue is fixed,2,190,May 27,answered
19,Survey for gamers,57,203,May 25,answered
20,Notifications when creator posts on wall,6,161,May 25,answered
21,Having Trouble with Webtoon’s New Thumbnail Requirements,934,470,May 25,answered
22,Tapas chapter publish not work,4,109,May 17,answered
23,How weird is it for MC to not have a successful romantic relationship?,84,356,May 17,answered
24,Workaround for Font Issues on Mobile?,4,81,May 7,answered
25,SOLVED (THANK YOU!): Need help identifying comic,116,75,May 3,answered
26,"Comic hidden on the website, Tapas not answering, what else can I do?",2,316,May 2,answered
27,HELP! I don’t know if this is the correct way to warn my readers!,85,127,May 1,answered
28,[CLOSED] Is this supposed to be on Updated instead of Activity?,3,144,Apr 24,answered
29,[CLOSED] Can someone point out the grammatical errors on this teaser?,111,119,Apr 19,answered
30,[Answered] Advantages/disavantages of having a Tumblr mirror for comics?,2,155,Apr 1,answered
31,[CLOSED] How are views counted?,97,189,Mar 24,answered
32,Already answered! Thank you!,4,79,Mar 21,answered
33,Cashing out both revenue and donations,127,573,Mar 17,answered
34,How to earn money fast?,3,2.2k,Mar 16,answered
35,Confusion with This Sentence! Help!,94,175,Mar 12,answered
36,Profile Description,4,104,Feb 27,answered
37,Custom fonts and the tools to make them,190,106,Feb 27,answered
38,Are more mature comics able to qualify for the ad revenue program?,9,119,Feb 27,answered
39,Looking for a comic I read about a year ago,203,151,Feb 27,answered
40,Tapas Instagram Scam?,9,191,Feb 24,answered
41,Help find a comic,161,123,Feb 16,answered
42,TECH SUPPORT HELP - Still haven’t Receive for the earning from INK,7,227,Feb 13,answered
43,A banner with a link to Patreon - How?,470,126,Feb 11,answered
44,Okay i need help with this BGM thing(SOLVED),7,108,Feb 6,answered
45,Looking for a comic I read five years ago!,109,117,Feb 5,answered
46,From Webtoon to Tapas,51,164,Feb 3,answered
47,My episode file won’t upload,356,88,Feb 3,answered
48,How do you unlock ad revenue?,1,611,Jan 27,answered
49,Premium series missing episodes. Odd bug with episode sorting,81,102,Jan 25,answered
50,How would you handle a significant change to your story? [ANSWERED],2,145,Jan 15,answered
51,I have a question about Tapas censorship,75,188,Jan 13,answered
52,Question regarding pictures in novel episodes,11,92,Jan 4,answered
53,Webtoons big bug - lost my account,316,12.4k,Dec '20,answered
54,Do Subscribers Get Notified When Updating Past Pages,2,111,Dec '20,answered
55,Searching For Novel,127,276,Oct '20,answered
56,How does the links work? {Solved!},3,88,Oct '20,answered
57,Help needed regarding posting links,144,88,Oct '20,answered
58,How do I turn my mountain of ink into phat stax,12,219,Sep '20,answered
59,“I Am the Real One” Twitter Comment Contest Bonus Ink,119,186,Sep '20,answered
60,Any valentine author collab for canvas/tapas?,10,147,Sep '20,answered
61,Pitching to the Novels Premium Program,155,142,Sep '20,answered
62,"Looking for a WRITER to help me outline, script and proof-read (CLOSED/PAID)",6,190,Sep '20,answered
63,Need a little help with perspective (+foreshortening),189,236,Sep '20,answered
64,Can’t find a comic (HELP!),0,147,Sep '20,answered
65,Is there a rule on Tapas regarding creating multiple accounts to surpass milestones quickly?,79,424,Sep '20,answered
66,What does going premium imply?,8,215,Aug '20,answered
67,Help! I can’t find my subscribers to thank them! D:,573,249,Aug '20,answered
68,What tags should I use?,51,133,Aug '20,answered
69,The support banner of my account is not working,2.2k,214,Aug '20,answered
70,Question about the LGBTQ+ genre,25,273,Aug '20,answered
71,Any forum suitable for looking another artist for cross promoting comic?,175,152,Aug '20,answered
72,Looking for another BL comics for crosspromoting,8,207,Jul '20,answered
73,Questions for my QnA,104,167,Jun '20,answered
74,[ANSWERED] Hello! New creator question!,10,241,Jun '20,answered
75,"I need some help. Do I go traditional, or continue trying digital?",106,401,Jun '20,answered
76,How do I upload pictures in my novels?(solved),2,132,May '20,answered
77,I can’t decide on a career path,119,284,May '20,answered
78,Need a chronic lethal condition for a character (CLOSED),4,299,May '20,answered
79,Freelance comic writer for hire ! (No need to pay) CLOSED,151,289,Apr '20,answered
80,I can’t decide on a title (Poll),6,205,Mar '20,answered
81,"Thinking about using Krita, but want input",191,250,Mar '20,answered
82,CLOSED [Thank You],3,176,Mar '20,answered
83,I need an alternate method for comic making,123,330,Mar '20,answered
84,How many panels can I fit into a Tapas page…thing?,13,222,Mar '20,answered
85,Point out a deal barker. (constructive criticism),227,287,Feb '20,answered
86,"Webtoon, comics not available to some countries",3,20.8k,Feb '20,answered
87,Should I change my cover?,126,286,Jan '20,answered
88,Mature content (sexual): how much is allowed on webtoon?,4,13.2k,Jan '20,answered
89,Is it possible to copy Instagram caption or bio quotes?,108,271,Jan '20,answered
