,titles,replies,views,activity,category
0,Looking for Feedback! Will Also Give You Feedback on Your Novel,8,35,4h,reviews-feedback
1,Would I start reading your comic/novel based on your cover,35,1.4k,1d,reviews-feedback
2,(COMPLETE)I Will Read/Comment/Like the 1st 15 chapters of your Novel if you Read and Critique the 1st 10 of mine! 5/5,230,378,2d,reviews-feedback
3,Free honest reviews. Novels and Comics,1.4k,785,6d,reviews-feedback
4,"Looking for feedback on a 6-page Short Comic Script (Survival, Sci-Fi)",41,78,7d,reviews-feedback
5,Critique comic book characters,378,106,8d,reviews-feedback
6,I’ll Promote BL | M-Preg | Omegaverse | on my YouTube Channel,84,299,9d,reviews-feedback
7,Chips filled with pines - comic series,785,61,10d,reviews-feedback
8,Have an Action or Sci-fi series? Share it away and I’ll check it out!,5,1.2k,10d,reviews-feedback
9,What kind of vibes does this plot description give off (and what could I do to make it better)?,78,89,11d,reviews-feedback
10,Started a new novel. Any feedback would be greatly appreciated,10,62,11d,reviews-feedback
11,Comic Critiques Thread 2! [NO slots available! Reviews in progress!],106,2.3k,11d,reviews-feedback
12,I will review the first 5 (Mostly more) chapters of your novel/comic!,7,672,12d,reviews-feedback
13,Offering Critical and Honest Reviews for Comics (Closed),299,326,16d,reviews-feedback
14,I will review all chapters of your novel/comic,1,435,16d,reviews-feedback
15,I would love a review for my novel!,61,51,17d,reviews-feedback
16,Private Reviews for my comics needed,144,106,19d,reviews-feedback
17,New writer. Would like feedback,1.2k,98,20d,reviews-feedback
18,Needing opinons,9,212,20d,reviews-feedback
19,Free dialog writer to improve your comic/script,89,308,27d,reviews-feedback
20,Feedback for a Sci-fi mystery thriller story: “Them”,2,50,28d,reviews-feedback
21,TOPIC FOR PLOT: can you teach emotions to an AI?,62,1.0k,Jul 4,reviews-feedback
22,Not feeling confident anymore,88,392,Jul 3,reviews-feedback
23,Feedback On My Comic Please,2.3k,88,Jul 2,reviews-feedback
24,I will review the first episode of the works you put down here,98,1.1k,Jul 2,reviews-feedback
25,Cat’s Reviews,672,1.1k,Jun 30,reviews-feedback
26,Help with my cover,33,78,Jun 30,reviews-feedback
27,How do you guys feel about detective fostman as a character?,326,204,Jun 29,reviews-feedback
28,Representation: Yay or Nay (I Need MORE Feedback.),60,336,Jun 27,reviews-feedback
29,Guess the story just by looking at the cover,435,550,Jun 27,reviews-feedback
30,Not sure about the main genre,0,95,Jun 27,reviews-feedback
31,Feedback for My Webcomic Cover?,51,132,Jun 26,reviews-feedback
32,Would you like to give feedback for my comics?,6,78,Jun 25,reviews-feedback
33,Would you check out the comic/novel based on the cover?,106,118,Jun 24,reviews-feedback
34,Comic Feedback/Critique,5,76,Jun 24,reviews-feedback
35,Please Critque either my novel or comic and I will like and subscribe yours,98,100,Jun 20,reviews-feedback
36,Need help.. I got an invitation,14,170,Jun 18,reviews-feedback
37,What are your honest thoughts on my webcomic?,212,227,Jun 17,reviews-feedback
38,Feedback for my webtoon. CLOSED,20,199,Jun 17,reviews-feedback
39,Need someone to edit and tell me how’s the script,308,103,Jun 16,reviews-feedback
40,How can I improve the writing of the first episode any farther?,0,166,Jun 15,reviews-feedback
41,Critique my comic idea?,50,157,Jun 14,reviews-feedback
42,Feedback on my comics please!,158,75,Jun 13,reviews-feedback
43,How do i get opinions on my novels plot?,1.0k,98,Jun 13,reviews-feedback
44,Critique my comic?,23,68,Jun 12,reviews-feedback
45,Feedback on Colours?,392,160,Jun 12,reviews-feedback
46,Please help me with my new art style,6,158,Jun 11,reviews-feedback
47,[Open] Free Drawing for a Critique of All Current Chapters of My Comic,88,172,Jun 9,reviews-feedback
48,Any web developers wanna give feedback on my new homepage?,106,162,Jun 9,reviews-feedback
49,Give Me Feedback on My Description 🙏,1.1k,90,Jun 8,reviews-feedback
50,Constructive Criticism Club 🎯,80,1.0k,Jun 7,reviews-feedback
51,"I thought of changing my thumbnail, what do you guys think?",1.1k,74,Jun 6,reviews-feedback
52,Advice on a Starting Paragraph,5,127,Jun 4,reviews-feedback
53,Survey for “Kawaii” Character Design,78,102,Jun 3,reviews-feedback
54,Lookking for honest opinions (book cover),7,193,Jun 2,reviews-feedback
55,Feedback on my book,204,85,Jun 2,reviews-feedback
56,Let me know what you think of my blurbs: comments needed,20,97,Jun 1,reviews-feedback
57,Opinions about book cover & ways to fix it,336,95,Jun 1,reviews-feedback
58,"✨What if your comic/novel is in a bookstore, will I grab, read, and buy your comic/novel? (+promotion)✨",132,462,May 29,reviews-feedback
59,"Dying for some feedback! New here, pleased to meet you!",550,62,May 28,reviews-feedback
60,Feedback on my book cover please!,1,79,May 27,reviews-feedback
61,Give me your first impression on my novel!,95,104,May 26,reviews-feedback
62,"Trying to improve, can I get some feedback?",9,308,May 26,reviews-feedback
63,Crit my comics?,132,137,May 24,reviews-feedback
64,Give my Novel Some Revisions!,2,118,May 24,reviews-feedback
65,Some good old criticism could help me get better,78,139,May 21,reviews-feedback
66,Constructive Criticism for Webtoon,8,115,May 21,reviews-feedback
67,Crit my comic please,118,143,May 20,reviews-feedback
68,"Feedback help, plz give me feedback by that I can improve myself, and I’ll try to give feedback on yours",7,132,May 20,reviews-feedback
69,"Feedback on my webtoon. Art, story, etc",76,115,May 20,reviews-feedback
70,Feedback help. I humbly ask for eager and honest souls,6,141,May 20,reviews-feedback
71,Looking for feedback on a 5-page Short Comic Script,100,68,May 19,reviews-feedback
72,In need of some Constructive Criticism/Review,6,135,May 18,reviews-feedback
73,Review my comic por favor =3,170,97,May 17,reviews-feedback
74,Critique: Adding comic-like elements to a novel,7,73,May 13,reviews-feedback
75,Criticism Need For My Comic,227,114,May 11,reviews-feedback
76,Asking critique for my webtoon,10,152,May 5,reviews-feedback
77,Read for read (+promo),199,249,May 3,reviews-feedback
78,Anyone want a legibility critique for your comic? slots filled!,3,258,May 2,reviews-feedback
79,"Private reviews (Closed for now, bit off more than I could chew)",103,549,May 2,reviews-feedback
80,Should i redraw my first chapters?,10,176,May 1,reviews-feedback
81,Post your novel/comics and get an honest review,166,1.7k,Apr 29,reviews-feedback
82,"I’ll review your stuff, but I won’t say anything positive (really busy can’t review right now)",8,960,Apr 27,reviews-feedback
83,Requesting some feedback on my upcoming comic’s art style,157,252,Apr 26,reviews-feedback
84,Is My Story Description Good?,0,104,Apr 26,reviews-feedback
85,I Will Review Your Novels (The Stalker Watch),75,541,Apr 26,reviews-feedback
86,Pls give me a feedback about my comic,1,94,Apr 25,reviews-feedback
87,Scathing Critiques For Free,98,299,Apr 25,reviews-feedback
88,Please help by giving feedback,2,96,Apr 25,reviews-feedback
89,Please Help a Tapas Newbie,68,173,Apr 25,reviews-feedback
90,Looking for Japanese Sensitivity Readers,13,130,Apr 24,reviews-feedback
91,I want some feedback on my batman and spider-man crossover fan comic,160,111,Apr 24,reviews-feedback
92,May I have some feedback please?,10,97,Apr 24,reviews-feedback
93,"Finally finished the first big battle of my series, any thoughts about it?",158,125,Apr 23,reviews-feedback
94,Please help me out! Should I change the first couple episodes?,15,79,Apr 23,reviews-feedback
95,Giving some Novel Critiques,172,599,Apr 22,reviews-feedback
96,Need feedback on Romance/Comedy webtoon,6,86,Apr 21,reviews-feedback
97,Calliope Magazine Feedback Survey,162,70,Apr 20,reviews-feedback
98,[CLOSED 3/3] Giving your comic honest feedback/reviews,7,1.9k,Apr 19,reviews-feedback
99,What makes certain new comic titles popular?,90,171,Apr 19,reviews-feedback
100,Is my comic art good enough to bring to a convention?,100,226,Apr 17,reviews-feedback
101,New Novel Description? HALP o_O,1.0k,114,Apr 16,reviews-feedback
102,[CLOSED] Could Someone Help Me With My Novel’s Description?,1,94,Apr 16,reviews-feedback
103,Help me pick a new cover please!,74,169,Apr 14,reviews-feedback
104,[CLOSED] HELP! I need someone to give me feedback on my new book,9,101,Apr 14,reviews-feedback
105,Tomato Playing Basketball With A Potted Plant,127,484,Apr 14,reviews-feedback
106,Character design critique/review,0,184,Apr 12,reviews-feedback
107,[CLOSED] Can Someone Give Me A Review/Feedback For This Chapter,102,109,Apr 11,reviews-feedback
108,Looking for one someone to pre-read my chapters before posting (closed),15,76,Apr 11,reviews-feedback
109,Looking for a Beta Reader (CLOSED! Found one!),193,85,Apr 9,reviews-feedback
110,Anxious author looking for help 👀,0,178,Apr 9,reviews-feedback
111,[CLOSED] I Need Someone to Review My Novel,85,118,Apr 9,reviews-feedback
112,Unsure and could use reviews/ feedback,3,170,Apr 8,reviews-feedback
113,Anyone wanna review my comic?,97,121,Apr 8,reviews-feedback
114,"Slow subscribers, Am I doing something wrong?",3,242,Apr 8,reviews-feedback
115,Is this chapter confusing? Looking for feedback,95,117,Apr 8,reviews-feedback
116,Does my art look bad? What ways can I improve?,65,122,Apr 5,reviews-feedback
117,Whatcha got? Looking to Read and Review!,462,1.6k,Apr 5,reviews-feedback
118,General Feedback Lounge,0,206,Apr 5,reviews-feedback
119,Critique my new comic pages,62,145,Apr 5,reviews-feedback
120,The Mysterious Galaxy,4,80,Apr 4,reviews-feedback
121,Feedback on my comic’s pacing?,79,93,Apr 4,reviews-feedback
122,Critique and Feedback on my Novel’s Description,4,83,Apr 3,reviews-feedback
123,*Burr voice* Let me offer you some free advice,104,611,Apr 2,reviews-feedback
124,Thoughts on my Plot Description?,14,200,Apr 2,reviews-feedback
125,Review request for Secret Challenge,308,102,Mar 31,reviews-feedback
126,Seeking some advice!,7,153,Mar 30,reviews-feedback
127,"Cover feedback, please owo",137,109,Mar 29,reviews-feedback
128,[Poll] Do you like this style?,5,184,Mar 27,reviews-feedback
129,Will you review this please? I need feedback!,118,170,Mar 26,reviews-feedback
130,Review cover of new BL comic,5,89,Mar 25,reviews-feedback
131,First Finished Artwork,139,190,Mar 25,reviews-feedback
132,Review my webnovel and I’ll review yours,1,108,Mar 24,reviews-feedback
133,Review my comic pretty please,115,79,Mar 23,reviews-feedback
134,YAY! Feedback for Feedback!,8,235,Mar 23,reviews-feedback
135,(CLOSED) Looking for feedback on a 3-Page Short Comic Script,143,144,Mar 22,reviews-feedback
136,How can I make my cover art less boring?,8,385,Mar 22,reviews-feedback
137,I’ll review your comic/novel (5/5),132,130,Mar 22,reviews-feedback
138,"Read & Review Mine, I’ll Read and Review Yours *My Novel is Mature Rated*",4,237,Mar 21,reviews-feedback
139,"I’ll review your comic! (CLOSED, something private came up",115,168,Mar 20,reviews-feedback
140,Feedback on my artistic masterpiece,3,215,Mar 17,reviews-feedback
141,Review my comic please,141,116,Mar 16,reviews-feedback
142,Feedback for First Draft,2,63,Mar 12,reviews-feedback
143,Looking for feedback on my short GL story,68,62,Mar 10,reviews-feedback
144,Looking for a Reviewer (Unpaid),7,119,Mar 10,reviews-feedback
145,Looking for Feedback on my Webtoon!,135,108,Mar 8,reviews-feedback
146,Help a newbie with genres?,6,157,Mar 7,reviews-feedback
147,"I don’t normally ask feedback but i really need to know i putting too much detail or not enough detail in my Novel, MY NOVEL IS Mature> so you been warned",97,156,Mar 5,reviews-feedback
148,All About Feedback!,1,195,Mar 4,reviews-feedback
149,Nuevo cómic y nuevo episodio!,73,95,Mar 4,reviews-feedback
