,titles,replies,views,activity,category
0,"Tapas Paster for Novelists by miqinviolin 🕮
[image] Hello, novelists! We would like to share Tapas Paster, a FREE Google Chrome extension created by miqinviolin. It allows novelists to paste formatted text into the Tapas novel editor while retaining bold & it… read more",6,427,Dec '20,writing-novels
1,Story Endings Poll,427,15,2m,writing-novels
2,Tell us about your book!,2,377,10h,writing-novels
3,I’ll read your novels!,15,2.9k,12h,writing-novels
4,Just published my first few episodes of my novel. Post your new novel here too!,52,951,12h,writing-novels
5,Share Your Stories - I’ll Read Them (Novels),377,312,13h,writing-novels
6,Post your BL Novels here,137,100,1d,writing-novels
7,Anyone currently writing a Xianxia or Wuxia?,2.9k,57,3d,writing-novels
8,I want to create a monster taming comic about cryptids need feedback,76,33,3d,writing-novels
9,What do you think about diary entries?,951,186,3d,writing-novels
10,Finding Success While Writing In Niche Genres,52,253,4d,writing-novels
11,"Strange, Weird, HUH? with Kindle Vella Writers",312,1.6k,5d,writing-novels
12,Post ONE random sentence from your latest chapter,16,15.5k,5d,writing-novels
13,I just started writing a novel and I want to get comments and suggestions for my work,100,245,6d,writing-novels
14,POST 2 lines of dialogue between any Two characters from your NOVEL,7,9.7k,6d,writing-novels
15,Alpha Alien Romances,57,104,7d,writing-novels
16,Post The Last Sentence You Wrote,0,19.2k,8d,writing-novels
17,How do I even begin?,33,170,8d,writing-novels
18,What role could a mail carrier play in a fantasy adventure?,18,114,9d,writing-novels
19,Prompt of the day- ‘you’re an idiot’,186,87,9d,writing-novels
20,"Give Me Your Romance Novels! Steamy, Clean, or Fluffy I Want Em!",15,611,10d,writing-novels
21,Cover of your novel!,253,821,11d,writing-novels
22,Let’s have a BL Novel Showcase! (I want to find BL novels to read!),279,2.6k,12d,writing-novels
23,How to type this?,1.6k,126,12d,writing-novels
24,Slow or fast pacing stories,1.3k,190,12d,writing-novels
25,Y’all looking for BL/GL novel suggestions? ‘Cause I am! (You may self-promote!),15.5k,5.4k,13d,writing-novels
26,Is Omegaverse a dirty word now?,7,541,14d,writing-novels
27,Can you post a novel on tumblr?,245,107,15d,writing-novels
28,"What makes your chracter feel like a living, breathing person to you?",807,269,17d,writing-novels
29,The Underated Books Club (please read first message before posting),9.7k,214,18d,writing-novels
30,How do you feel about interrupting trains of thought in the first-person perspective?,10,96,19d,writing-novels
31,The Moonlight Smile that Stole My Heart,104,51,20d,writing-novels
32,"📺 Share Favorite Vids about Scene-Sequencing, Worldbuilding or Storytelling/Writing etc",1.3k,107,20d,writing-novels
33,HELP! I need help with my novel,19.2k,176,20d,writing-novels
34,When it comes to making webtoons should I…,14,104,21d,writing-novels
35,On Comedy: Punching Up vs. Down,170,192,22d,writing-novels
36,Share Omegaverse and mpreg novels/stories,11,670,22d,writing-novels
37,Your Out of Context Sentences (Promote Your Story),114,9.6k,23d,writing-novels
38,Story vs writing skill,2,264,24d,writing-novels
39,World Building. What’s your magic system?,87,162,25d,writing-novels
40,HELP! With the Classes and Ranks for my novel,33,104,26d,writing-novels
41,Mafia novels not so popular or is it just me?,611,107,27d,writing-novels
42,Where can I post unwanted scripts?,85,105,27d,writing-novels
43,Please Help ;__; I’m confusing myself with my own plotline T^T,821,242,27d,writing-novels
44,How much should authors explain about their work? (+poll),259,215,28d,writing-novels
45,Share a Content Advisory for your Series!,2.6k,300,28d,writing-novels
46,New Novelists! share your novels and we can check eachother!,9,1.3k,29d,writing-novels
47,There are 18 types of windows - what useless facts did you learn from writing your novel?,126,98,30d,writing-novels
48,I wanna do some cover art for FREEEEEEEE!,20,304,30d,writing-novels
49,Worldbuilding questions!,190,186,Jul 4,writing-novels
50,Ajuda para escrever,84,54,Jul 2,writing-novels
51,Share your favorite part from your novel,5.4k,228,Jul 2,writing-novels
52,Would you read this (deep fantasy version) ~ UPDATE,28,102,Jul 2,writing-novels
53,I’m leaving tapas and here is why,541,563,Jul 1,writing-novels
54,Share experiences about novels or comics,6,172,Jul 1,writing-novels
55,"I asked this of artist, now for Writers!",107,542,Jul 1,writing-novels
56,When PRODUCERS come KNOCKING,25,279,Jul 1,writing-novels
57,Any good novels/comics with Transgender characters?,269,141,Jul 1,writing-novels
58,Share Your Stories! (R4R Novels Only),14,110,Jul 1,writing-novels
59,Share your Novel cover!,214,17.7k,Jul 1,writing-novels
60,Hi! hola mundo!,3,127,Jun 30,writing-novels
61,"Hello all, I have a new novel I’m working on, I would like some critique on it",96,61,Jun 30,writing-novels
62,Novelists Post Your Novels Here!,0,10.4k,Jun 29,writing-novels
63,Wanted to Share this Scene,51,60,Jun 29,writing-novels
64,Searching for Slice of Life stories (call for self promotion),4,2.0k,Jun 29,writing-novels
65,"Writers, what’s your writing process like?",107,322,Jun 28,writing-novels
66,Q & A Questions,8,113,Jun 28,writing-novels
67,Death of a character in your writing,176,228,Jun 27,writing-novels
68,VERY IMPORTANT: Did anyone get contacted by Webnovel…?,2,353,Jun 27,writing-novels
69,Does anybody get writers anxiety?,104,140,Jun 25,writing-novels
70,Amazon Kindle Vella - TOS & Pros and Cons Discussion,9,427,Jun 25,writing-novels
71,Writing paralysis,192,134,Jun 24,writing-novels
72,When do you post your story/chapter?,11,200,Jun 23,writing-novels
73,Your favourite qoute from a novel?,670,113,Jun 23,writing-novels
74,I need help choosing a MC name,694,131,Jun 23,writing-novels
75,After a short hiatus,9.6k,93,Jun 23,writing-novels
76,"I want to improve, just don’t know how or where",22,125,Jun 22,writing-novels
77,How is Tapas for Novels?,264,902,Jun 21,writing-novels
78,Your crush finally confessed their love for you! Now it’s your turn,16,224,Jun 21,writing-novels
79,How often do you edit your chapters?,162,191,Jun 21,writing-novels
80,Do images work for every viewer or do you find some images are missing when you read?,8,91,Jun 21,writing-novels
81,What’s your thoughts on sex scenes in novels?,104,754,Jun 18,writing-novels
82,Action vs. Dialogue (+poll),3,121,Jun 16,writing-novels
83,Redeeming the Toxic Suitor,107,217,Jun 15,writing-novels
84,How to die (funny and unexpected way)?,5,265,Jun 15,writing-novels
85,First POV vs third POV for litrpg/gamer genre,105,74,Jun 14,writing-novels
86,Help me decide my next novel/novella! (Stuck on two ideas),22,79,Jun 14,writing-novels
87,Brainstorm Help,242,217,Jun 13,writing-novels
88,Seems like an interesting idea for a plot,18,86,Jun 11,writing-novels
89,Emotional wounds from characters and how to handle it,215,190,Jun 10,writing-novels
90,Villainess novels suggestion?,33,119,Jun 9,writing-novels
91,What’s your writer process?,300,84,Jun 9,writing-novels
92,Contract offer | Advice needed!,91,177,Jun 7,writing-novels
93,What techniques do you employ to bring your characters to life?,1.3k,262,Jun 6,writing-novels
94,A bunch of useful resources for writing,14,110,Jun 6,writing-novels
95,What is about a review that you like?,98,97,Jun 6,writing-novels
96,Share some of you favorite parts from you’re novel!,13,121,Jun 3,writing-novels
97,Anyone else writing slice of life / reading slice of life novels?,304,73,Jun 3,writing-novels
98,Changing the Setting,16,104,Jun 1,writing-novels
99,Novels on Tapas,186,521,Jun 1,writing-novels
100,Do any authors on here have experience with the Libri app?,0,138,May 29,writing-novels
101,Proofreader needed for novel,54,175,May 28,writing-novels
102,Writers! What’s the one thing you feel like your writing/characters are incomplete without?,25,368,May 26,writing-novels
103,Would You Read This? (NEW EDIT),228,172,May 26,writing-novels
104,What’s in a title,3,263,May 26,writing-novels
105,Planned Timeskip?!,102,144,May 26,writing-novels
106,Horror vs. Unease (+poll),12,172,May 25,writing-novels
107,I need some advice plz,563,263,May 25,writing-novels
108,Question About Scene in Novel? T^T,17,82,May 24,writing-novels
109,The beauty of weak characters,172,289,May 23,writing-novels
110,Works in progress for novels!,51,105,May 23,writing-novels
111,Food and Books. Let’s talk Cookbooks!,542,65,May 23,writing-novels
112,Looking for mythpoeia novels!,20,181,May 23,writing-novels
113,Thoughts on racism in fantasy works?,279,293,May 23,writing-novels
114,Stories you will never write,14,402,May 22,writing-novels
115,Your creation process,141,161,May 21,writing-novels
116,Less details= Bad story?,10,310,May 21,writing-novels
117,I’m new to writing and need tips,110,401,May 21,writing-novels
118,"Hello, Exposition, My Old Friend 😭🤦‍♂️ [Comics, Novels and All Writing in General]",440,237,May 21,writing-novels
119,Was writing easier for you when you were younger? (+poll),17.7k,439,May 20,writing-novels
120,Let’s talk about trends,13,280,May 20,writing-novels
121,Can DM’s be a thing in novels?,127,232,May 19,writing-novels
122,List of your favourite novels on Tapas,2,72,May 18,writing-novels
123,"Hey, I’m bored. Share your novels with me!",61,1.8k,May 17,writing-novels
124,Recommend your favorite tapas novel!,311,291,May 17,writing-novels
125,"Character Description, how much?",10.4k,260,May 17,writing-novels
126,Writers & artists of Tapas! What’s that one thing you’d never write/ draw even if you were getting paid for it?,0,468,May 16,writing-novels
127,How do you write a song that’s not about romance…?,60,175,May 14,writing-novels
128,So…I’ve been featured. What’s your biggest accomplishment as a creator?,32,471,May 14,writing-novels
129,Do you guys use art-breed in your work?,2.0k,305,May 11,writing-novels
130,Pitch me your novels!,25,314,May 11,writing-novels
131,Conflicting Views on Immortality,322,175,May 10,writing-novels
132,Anyone keeping track of Novalstar comments?,5,347,May 9,writing-novels
133,How Do You Promote Your Novel?,113,2.8k,May 9,writing-novels
134,First time in Tapas,17,78,May 9,writing-novels
135,Any Radish Authors?,228,366,May 8,writing-novels
136,Discord Server for writers to interact and share their stories,38,72,May 7,writing-novels
137,Does music make a difference?,353,134,May 7,writing-novels
138,Need a second opinion on my prologue,8,73,May 7,writing-novels
139,Help/feedback needed with novel draft,140,46,May 7,writing-novels
140,"Alright, I applied for Premium",19,193,May 7,writing-novels
141,Help with interest check on BL Novel,427,59,May 6,writing-novels
142,Restarting Drafts,6,70,May 6,writing-novels
143,That day i became a star novel,134,390,May 5,writing-novels
144,Which idea do you think is better?,19,157,May 4,writing-novels
145,A New Beginning to My Story,200,61,May 3,writing-novels
146,A One Shot about Issues Prevalent in Countries Like Mine,12,142,May 3,writing-novels
147,Politics in Fiction (OPINIONS NEEDED),113,391,Apr 29,writing-novels
148,What is the best way to connect the readers with your lore?,12,116,Apr 28,writing-novels
149,First Chapter Rewrite or not? Please Help if You Can,131,131,Apr 28,writing-novels
150,Novel Swap! Introduce Your Novel!,2,2.9k,Apr 26,writing-novels
151,How do you stay in touch with the little details?,93,189,Apr 26,writing-novels
152,Ways to quickly develop a character,8,142,Apr 26,writing-novels
153,You and the boys are chilling in your captor’s basement. Wyd?,125,193,Apr 26,writing-novels
154,Who’s launching a new book this summer? Tell me about it! (social media promotion),17,48,Apr 25,writing-novels
155,The two sides of subversions,902,78,Apr 25,writing-novels
156,Daily Writing Check-in,27,6.7k,Apr 24,writing-novels
157,I Need Some Feedback on this Scene,224,137,Apr 24,writing-novels
158,Shameless self-promo,25,127,Apr 24,writing-novels
159,Interesting BL Novels in Tapas,191,1.1k,Apr 23,writing-novels
160,Thoughts on Novel Covers?,8,170,Apr 23,writing-novels
161,Modern mythology reading circle,91,95,Apr 23,writing-novels
162,Novel length: too wordy for online reading?,67,218,Apr 23,writing-novels
163,Is Tapas the best place to post long-chapter stories?,754,188,Apr 22,writing-novels
164,Recomienden sus novelas en español (Spanish novels),6,945,Apr 22,writing-novels
